target,location,type,quantile,value
1 day ahead cum death,US,point,NA,26894
1 day ahead inc death,US,point,NA,2523
1 wk ahead cum death,US,point,NA,39028
1 wk ahead inc death,US,point,NA,3383
2 day ahead cum death,US,point,NA,29585
2 day ahead inc death,US,point,NA,2711
3 day ahead cum death,US,point,NA,32502
3 day ahead inc death,US,point,NA,2918
4 day ahead cum death,US,point,NA,35644
4 day ahead inc death,US,point,NA,3141
5 day ahead cum death,US,point,NA,39028
5 day ahead inc death,US,point,NA,3383
6 day ahead cum death,US,point,NA,42676
6 day ahead inc death,US,point,NA,3642
1 day ahead cum death,US,quantile,0.01,26614
1 day ahead cum death,US,quantile,0.025,26653
1 day ahead cum death,US,quantile,0.05,26685
1 day ahead cum death,US,quantile,0.1,26721
1 day ahead cum death,US,quantile,0.15,26747
1 day ahead cum death,US,quantile,0.2,26767
1 day ahead cum death,US,quantile,0.25,26787
1 day ahead cum death,US,quantile,0.3,26805
1 day ahead cum death,US,quantile,0.35,26824
1 day ahead cum death,US,quantile,0.4,26845
1 day ahead cum death,US,quantile,0.45,26867
1 day ahead cum death,US,quantile,0.5,26894
1 day ahead cum death,US,quantile,0.55,26929
1 day ahead cum death,US,quantile,0.6,26979
1 day ahead cum death,US,quantile,0.65,27076
1 day ahead cum death,US,quantile,0.7,27676
1 day ahead cum death,US,quantile,0.75,27738
1 day ahead cum death,US,quantile,0.8,27780
1 day ahead cum death,US,quantile,0.85,27818
1 day ahead cum death,US,quantile,0.9,27858
1 day ahead cum death,US,quantile,0.95,27911
1 day ahead cum death,US,quantile,0.975,27954
1 day ahead cum death,US,quantile,0.99,27998
1 day ahead inc death,US,quantile,0.01,2322
1 day ahead inc death,US,quantile,0.025,2344
1 day ahead inc death,US,quantile,0.05,2365
1 day ahead inc death,US,quantile,0.1,2388
1 day ahead inc death,US,quantile,0.15,2407
1 day ahead inc death,US,quantile,0.2,2422
1 day ahead inc death,US,quantile,0.25,2437
1 day ahead inc death,US,quantile,0.3,2452
1 day ahead inc death,US,quantile,0.35,2468
1 day ahead inc death,US,quantile,0.4,2484
1 day ahead inc death,US,quantile,0.45,2502
1 day ahead inc death,US,quantile,0.5,2523
1 day ahead inc death,US,quantile,0.55,2548
1 day ahead inc death,US,quantile,0.6,2581
1 day ahead inc death,US,quantile,0.65,2637
1 day ahead inc death,US,quantile,0.7,2918
1 day ahead inc death,US,quantile,0.75,2956
1 day ahead inc death,US,quantile,0.8,2982
1 day ahead inc death,US,quantile,0.85,3008
1 day ahead inc death,US,quantile,0.9,3034
1 day ahead inc death,US,quantile,0.95,3067
1 day ahead inc death,US,quantile,0.975,3094
1 day ahead inc death,US,quantile,0.99,3124
1 wk ahead cum death,US,quantile,0.01,36634
1 wk ahead cum death,US,quantile,0.025,36692
1 wk ahead cum death,US,quantile,0.05,36743
