"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-04-20,"1 day ahead inc death",2020-04-21,"US","US","point",NA,1828
2020-04-20,"2 day ahead inc death",2020-04-22,"US","US","point",NA,1814
2020-04-20,"3 day ahead inc death",2020-04-23,"US","US","point",NA,1814
2020-04-20,"4 day ahead inc death",2020-04-24,"US","US","point",NA,1814
2020-04-20,"5 day ahead inc death",2020-04-25,"US","US","point",NA,1814
2020-04-20,"6 day ahead inc death",2020-04-26,"US","US","point",NA,1814
2020-04-20,"7 day ahead inc death",2020-04-27,"US","US","point",NA,1814
2020-04-20,"8 day ahead inc death",2020-04-28,"US","US","point",NA,1814
2020-04-20,"1 day ahead cum death",2020-04-21,"US","US","point",NA,42510
2020-04-20,"2 day ahead cum death",2020-04-22,"US","US","point",NA,44324
2020-04-20,"3 day ahead cum death",2020-04-23,"US","US","point",NA,46138
2020-04-20,"4 day ahead cum death",2020-04-24,"US","US","point",NA,47952
2020-04-20,"5 day ahead cum death",2020-04-25,"US","US","point",NA,49766
2020-04-20,"6 day ahead cum death",2020-04-26,"US","US","point",NA,51580
2020-04-20,"7 day ahead cum death",2020-04-27,"US","US","point",NA,53394
2020-04-20,"8 day ahead cum death",2020-04-28,"US","US","point",NA,55208
2020-04-20,"1 wk ahead cum death",2020-04-25,"US","US","point",NA,49766
