"","forecast_date","target","target_end_date","location","type","quantile","value"
"1","2023-07-24","1 day ahead inc hosp","2023-07-25","01","point",NA,21
"2","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.01,14
"3","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.025,14.5
"4","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.05,15
"5","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.1,16
"6","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.15,17
"7","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.2,19
"8","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.25,19
"9","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.3,19
"10","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.35,20
"11","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.4,20
"12","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.45,21
"13","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.5,21
"14","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.55,21.5
"15","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.6,22.5
"16","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.65,23
"17","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.7,23.5
"18","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.75,23.5
"19","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.8,24.5
"20","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.85,27
"21","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.9,28
"22","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.95,29.5
"23","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.975,30.5
"24","2023-07-24","1 day ahead inc hosp","2023-07-25","01","quantile",0.99,31
"25","2023-07-24","10 day ahead inc hosp","2023-08-03","01","point",NA,21.5
"26","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.01,0
"27","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.025,2
"28","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.05,4.5
"29","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.1,7
"30","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.15,10
"31","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.2,12
"32","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.25,14
"33","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.3,15
"34","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.35,17
"35","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.4,18.5
"36","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.45,20
"37","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.5,21.5
"38","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.55,23.5
"39","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.6,25.5
"40","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.65,27.5
"41","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.7,30
"42","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.75,32
"43","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.8,34.5
"44","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.85,38.5
"45","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.9,43
"46","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.95,50
"47","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.975,55
"48","2023-07-24","10 day ahead inc hosp","2023-08-03","01","quantile",0.99,61.5
"49","2023-07-24","11 day ahead inc hosp","2023-08-04","01","point",NA,21.5
"50","2023-07-24","11 day ahead inc hosp","2023-08-04","01","quantile",0.01,0
"51","2023-07-24","11 day ahead inc hosp","2023-08-04","01","quantile",0.025,2
"52","2023-07-24","11 day ahead inc hosp","2023-08-04","01","quantile",0.05,3.5
"53","2023-07-24","11 day ahead inc hosp","2023-08-04","01","quantile",0.1,6.5
"54","2023-07-24","11 day ahead inc hosp","2023-08-04","01","quantile",0.15,9
"55","2023-07-24","11 day ahead inc hosp","2023-08-04","01","quantile",0.2,11.5
"56","2023-07-24","11 day ahead inc hosp","2023-08-04","01","quantile",0.25,13
"57","2023-07-24","11 day ahead inc hosp","2023-08-04","01","quantile",0.3,15
