forecast_date,target,target_end_date,location,type,quantile,value,std_error
2022-01-03,4 wk ahead inc death,2022-01-29,13,point,NA,253.97736127880958,98.21458757972843
2022-01-03,5 wk ahead cum death,2022-02-05,13,point,NA,32248.325573189784,98.71003425274392
2022-01-03,5 wk ahead inc case,2022-02-05,13,point,NA,190370.61868236132,62543.39318595695
2022-01-03,5 wk ahead inc death,2022-02-05,13,point,NA,252.97350058932253,98.71003425274392
2022-01-03,1 wk ahead cum death,2022-01-08,16,point,NA,4182.44306109847,26.154062278342675
2022-01-03,1 wk ahead inc case,2022-01-08,16,point,NA,5481.043087718377,528.0370485143438
2022-01-03,1 wk ahead inc death,2022-01-08,16,point,NA,94.50000000000001,26.154062278342675
2022-01-03,2 wk ahead cum death,2022-01-15,16,point,NA,4206.122421449458,26.302136371948702
2022-01-03,2 wk ahead inc case,2022-01-15,16,point,NA,5560.684505693567,531.1282726093368
2022-01-03,2 wk ahead inc death,2022-01-15,16,point,NA,109.46010200672993,26.302136371948702
2022-01-03,3 wk ahead cum death,2022-01-22,16,point,NA,4219.506407734799,26.385830424856394
2022-01-03,3 wk ahead inc case,2022-01-22,16,point,NA,5575.409020070483,534.2276821666835
2022-01-03,3 wk ahead inc death,2022-01-22,16,point,NA,61.86875330815242,26.385830424856394
2022-01-03,4 wk ahead cum death,2022-01-29,16,point,NA,4253.481142151434,26.59828455916076
2022-01-03,4 wk ahead inc case,2022-01-29,16,point,NA,5638.220208187379,537.3620089105501
2022-01-03,4 wk ahead inc death,2022-01-29,16,point,NA,157.05145070531162,26.59828455916076
2022-01-03,5 wk ahead cum death,2022-02-05,16,point,NA,4265.83559103021,26.675540607998627
2022-01-03,5 wk ahead inc case,2022-02-05,16,point,NA,5605.888525260122,540.4783622417551
2022-01-03,5 wk ahead inc death,2022-02-05,16,point,NA,57.109618438291314,26.675540607998627
2022-01-03,1 wk ahead cum death,2022-01-08,17,point,NA,30575.59602850601,149.31232814375218
2022-01-03,1 wk ahead inc case,2022-01-08,17,point,NA,170578.91885052458,92376.6857328125
2022-01-03,1 wk ahead inc death,2022-01-08,17,point,NA,427.2704402515723,149.31232814375218
2022-01-03,2 wk ahead cum death,2022-01-15,17,point,NA,30926.40881930233,151.0254811592348
2022-01-03,2 wk ahead inc case,2022-01-15,17,point,NA,119433.89178645783,94096.90910643317
2022-01-03,2 wk ahead inc death,2022-01-15,17,point,NA,466.08764500530987,151.0254811592348
2022-01-03,3 wk ahead cum death,2022-01-22,17,point,NA,31315.66684744618,152.92637697093596
2022-01-03,3 wk ahead inc case,2022-01-22,17,point,NA,69332.13118164008,95095.50967799322
2022-01-03,3 wk ahead inc death,2022-01-22,17,point,NA,517.1657430880659,152.92637697093596
2022-01-03,4 wk ahead cum death,2022-01-29,17,point,NA,31632.8400555634,154.4752550397278
2022-01-03,4 wk ahead inc case,2022-01-29,17,point,NA,55865.2803035285,95900.14527610145
2022-01-03,4 wk ahead inc death,2022-01-29,17,point,NA,421.3943091828802,154.4752550397278
2022-01-03,5 wk ahead cum death,2022-02-05,17,point,NA,31961.22645790698,156.07889142408325
2022-01-03,5 wk ahead inc case,2022-02-05,17,point,NA,42047.88699598017,96505.76698816291
2022-01-03,5 wk ahead inc death,2022-02-05,17,point,NA,436.29208779035025,156.07889142408325
2022-01-03,1 wk ahead cum death,2022-01-08,18,point,NA,19165.35042626577,308.8749417214498
2022-01-03,1 wk ahead inc case,2022-01-08,18,point,NA,68889.92924977395,23397.381176369454
2022-01-03,1 wk ahead inc death,2022-01-08,18,point,NA,357.44694533762055,308.8749417214498
2022-01-03,2 wk ahead cum death,2022-01-15,18,point,NA,19372.47677553065,312.2130564772584
