target,location,type,quantile,value
1 day ahead inc death,01,point,NA,40
1 day ahead inc death,01,quantile,0.01,26
1 day ahead inc death,01,quantile,0.025,28
1 day ahead inc death,01,quantile,0.05,30
1 day ahead inc death,01,quantile,0.1,32
1 day ahead inc death,01,quantile,0.15000000000000002,33
1 day ahead inc death,01,quantile,0.2,35
1 day ahead inc death,01,quantile,0.25,36
1 day ahead inc death,01,quantile,0.3,37
1 day ahead inc death,01,quantile,0.35000000000000003,37
1 day ahead inc death,01,quantile,0.4,38
1 day ahead inc death,01,quantile,0.45,39
1 day ahead inc death,01,quantile,0.5,40
1 day ahead inc death,01,quantile,0.55,41
1 day ahead inc death,01,quantile,0.6000000000000001,41
1 day ahead inc death,01,quantile,0.6500000000000001,42
1 day ahead inc death,01,quantile,0.7000000000000001,43
1 day ahead inc death,01,quantile,0.7500000000000001,44
1 day ahead inc death,01,quantile,0.8,45
1 day ahead inc death,01,quantile,0.8500000000000001,47
1 day ahead inc death,01,quantile,0.9000000000000001,48
1 day ahead inc death,01,quantile,0.95,51
1 day ahead inc death,01,quantile,0.975,53
1 day ahead inc death,01,quantile,0.99,55
2 week ahead cum death,01,point,NA,487
2 week ahead cum death,01,quantile,0.01,436
2 week ahead cum death,01,quantile,0.025,444
2 week ahead cum death,01,quantile,0.05,451
2 week ahead cum death,01,quantile,0.1,459
2 week ahead cum death,01,quantile,0.15000000000000002,464
2 week ahead cum death,01,quantile,0.2,468
2 week ahead cum death,01,quantile,0.25,472
2 week ahead cum death,01,quantile,0.3,475
2 week ahead cum death,01,quantile,0.35000000000000003,478
2 week ahead cum death,01,quantile,0.4,481
2 week ahead cum death,01,quantile,0.45,484
2 week ahead cum death,01,quantile,0.5,487
2 week ahead cum death,01,quantile,0.55,490
2 week ahead cum death,01,quantile,0.6000000000000001,492
2 week ahead cum death,01,quantile,0.6500000000000001,495
2 week ahead cum death,01,quantile,0.7000000000000001,498
2 week ahead cum death,01,quantile,0.7500000000000001,502
2 week ahead cum death,01,quantile,0.8,506
2 week ahead cum death,01,quantile,0.8500000000000001,510
2 week ahead cum death,01,quantile,0.9000000000000001,515
2 week ahead cum death,01,quantile,0.95,524
2 week ahead cum death,01,quantile,0.975,531
2 week ahead cum death,01,quantile,0.99,539
