"target","location","location_name","type","quantile","value"
"5 wk ahead cum death","16","Idaho","quantile",0.025,29.2841834736009
"6 wk ahead cum death","16","Idaho","quantile",0.025,29.3214668576287
"1 wk ahead cum death","16","Idaho","quantile",0.5,34.7854740881973
"2 wk ahead cum death","16","Idaho","quantile",0.5,44.8958627844924
"3 wk ahead cum death","16","Idaho","quantile",0.5,52.3995110140362
"4 wk ahead cum death","16","Idaho","quantile",0.5,56.4248420554454
"5 wk ahead cum death","16","Idaho","quantile",0.5,58.1233014115128
"6 wk ahead cum death","16","Idaho","quantile",0.5,59.5783311947712
"1 wk ahead cum death","16","Idaho","quantile",0.975,77.5260760227869
"2 wk ahead cum death","16","Idaho","quantile",0.975,130.167028202715
"3 wk ahead cum death","16","Idaho","quantile",0.975,168.439509809311
"4 wk ahead cum death","16","Idaho","quantile",0.975,199.374609446528
"5 wk ahead cum death","16","Idaho","quantile",0.975,230.697252305024
"6 wk ahead cum death","16","Idaho","quantile",0.975,264.180169604051
"1 wk ahead cum death","17","Illinois","quantile",0.025,830.197392520034
"2 wk ahead cum death","17","Illinois","quantile",0.025,954.064689515165
"3 wk ahead cum death","17","Illinois","quantile",0.025,1048.78545922441
"4 wk ahead cum death","17","Illinois","quantile",0.025,1108.43662778889
"5 wk ahead cum death","17","Illinois","quantile",0.025,1169.91767026586
"6 wk ahead cum death","17","Illinois","quantile",0.025,1233.0503094074
"1 wk ahead cum death","17","Illinois","quantile",0.5,1173.80968448727
"2 wk ahead cum death","17","Illinois","quantile",0.5,1677.88876028223
"3 wk ahead cum death","17","Illinois","quantile",0.5,2176.53432863317
"4 wk ahead cum death","17","Illinois","quantile",0.5,2655.65087103459
"5 wk ahead cum death","17","Illinois","quantile",0.5,3096.55701976138
"6 wk ahead cum death","17","Illinois","quantile",0.5,3496.97831042339
"1 wk ahead cum death","17","Illinois","quantile",0.975,2020.84782327313
"2 wk ahead cum death","17","Illinois","quantile",0.975,3667.05563655344
"3 wk ahead cum death","17","Illinois","quantile",0.975,6151.68189605117
"4 wk ahead cum death","17","Illinois","quantile",0.975,10358.4035173329
"5 wk ahead cum death","17","Illinois","quantile",0.975,16469.3273987493
"6 wk ahead cum death","17","Illinois","quantile",0.975,24717.8682306053
