"target","location","location_name","type","quantile","value"
"4 wk ahead cum death","31","Nebraska","quantile",0.025,35.5031690285238
"5 wk ahead cum death","31","Nebraska","quantile",0.025,40.1969035921908
"6 wk ahead cum death","31","Nebraska","quantile",0.025,44.2219874086359
"1 wk ahead cum death","31","Nebraska","quantile",0.5,33.8016645583511
"2 wk ahead cum death","31","Nebraska","quantile",0.5,62.2827457900537
"3 wk ahead cum death","31","Nebraska","quantile",0.5,100.241345939363
"4 wk ahead cum death","31","Nebraska","quantile",0.5,141.494066052114
"5 wk ahead cum death","31","Nebraska","quantile",0.5,180.404056398656
"6 wk ahead cum death","31","Nebraska","quantile",0.5,212.063567418157
"1 wk ahead cum death","31","Nebraska","quantile",0.975,94.3236156372565
"2 wk ahead cum death","31","Nebraska","quantile",0.975,212.301726784691
"3 wk ahead cum death","31","Nebraska","quantile",0.975,403.897933776374
"4 wk ahead cum death","31","Nebraska","quantile",0.975,669.141807914878
"5 wk ahead cum death","31","Nebraska","quantile",0.975,1035.53153927697
"6 wk ahead cum death","31","Nebraska","quantile",0.975,1486.68945399501
"1 wk ahead cum death","32","Nevada","quantile",0.025,118.200449491371
"2 wk ahead cum death","32","Nevada","quantile",0.025,127.754158383255
"3 wk ahead cum death","32","Nevada","quantile",0.025,135.484044268362
"4 wk ahead cum death","32","Nevada","quantile",0.025,138.952645395274
"5 wk ahead cum death","32","Nevada","quantile",0.025,141.973424062767
"6 wk ahead cum death","32","Nevada","quantile",0.025,144.474515227506
"1 wk ahead cum death","32","Nevada","quantile",0.5,160.381777640413
"2 wk ahead cum death","32","Nevada","quantile",0.5,215.628099014576
"3 wk ahead cum death","32","Nevada","quantile",0.5,261.153676635959
"4 wk ahead cum death","32","Nevada","quantile",0.5,296.92751308843
"5 wk ahead cum death","32","Nevada","quantile",0.5,326.651731579945
"6 wk ahead cum death","32","Nevada","quantile",0.5,350.504131974648
"1 wk ahead cum death","32","Nevada","quantile",0.975,310.62846280042
"2 wk ahead cum death","32","Nevada","quantile",0.975,506.609073311261
"3 wk ahead cum death","32","Nevada","quantile",0.975,714.606119837592
"4 wk ahead cum death","32","Nevada","quantile",0.975,947.97430435563
"5 wk ahead cum death","32","Nevada","quantile",0.975,1282.3727399413
"6 wk ahead cum death","32","Nevada","quantile",0.975,1609.15461660003
"1 wk ahead cum death","33","New Hampshire","quantile",0.025,24.0989516699757
"2 wk ahead cum death","33","New Hampshire","quantile",0.025,25.0781941978086
"3 wk ahead cum death","33","New Hampshire","quantile",0.025,25.9246455670782
"4 wk ahead cum death","33","New Hampshire","quantile",0.025,26.4377698966911
"5 wk ahead cum death","33","New Hampshire","quantile",0.025,27.0970404427958
"6 wk ahead cum death","33","New Hampshire","quantile",0.025,27.4868262432437
"1 wk ahead cum death","33","New Hampshire","quantile",0.5,39.8200363658646
"2 wk ahead cum death","33","New Hampshire","quantile",0.5,56.7737378853656
"3 wk ahead cum death","33","New Hampshire","quantile",0.5,67.5092539182202
"4 wk ahead cum death","33","New Hampshire","quantile",0.5,75.0235727911369
"5 wk ahead cum death","33","New Hampshire","quantile",0.5,81.6903765205221
"6 wk ahead cum death","33","New Hampshire","quantile",0.5,88.1032361058724
"1 wk ahead cum death","33","New Hampshire","quantile",0.975,99.5497578207301
"2 wk ahead cum death","33","New Hampshire","quantile",0.975,171.792585138566
"3 wk ahead cum death","33","New Hampshire","quantile",0.975,224.406457371168
"4 wk ahead cum death","33","New Hampshire","quantile",0.975,274.014959527306
"5 wk ahead cum death","33","New Hampshire","quantile",0.975,331.521611083228
"6 wk ahead cum death","33","New Hampshire","quantile",0.975,407.069154441689
"1 wk ahead cum death","34","New Jersey","quantile",0.025,2675.52257744209
"2 wk ahead cum death","34","New Jersey","quantile",0.025,3000.8840615114
"3 wk ahead cum death","34","New Jersey","quantile",0.025,3180.07618757859
"4 wk ahead cum death","34","New Jersey","quantile",0.025,3288.96421289443
"5 wk ahead cum death","34","New Jersey","quantile",0.025,3351.46090483972
