"","forecast_date","target","target_end_date","location","location_name","type","quantile","value"
"1",2020-06-21,"6 day ahead inc death",2020-06-27,"US","US","point",NA,631.169035785235
"2",2020-06-21,"5 day ahead inc death",2020-06-26,"US","US","point",NA,634.413533122293
"3",2020-06-21,"4 day ahead inc death",2020-06-25,"US","US","point",NA,637.674682276134
"4",2020-06-21,"3 day ahead inc death",2020-06-24,"US","US","point",NA,640.952568709326
"5",2020-06-21,"2 day ahead inc death",2020-06-23,"US","US","point",NA,644.247278323033
"6",2020-06-21,"1 day ahead inc death",2020-06-22,"US","US","point",NA,647.558897459297
"7",2020-06-21,"6 day ahead cum death",2020-06-27,"US","US","point",NA,124205.903508579
"8",2020-06-21,"5 day ahead cum death",2020-06-26,"US","US","point",NA,123574.734472793
"9",2020-06-21,"4 day ahead cum death",2020-06-25,"US","US","point",NA,122940.320939671
"10",2020-06-21,"3 day ahead cum death",2020-06-24,"US","US","point",NA,122302.646257395
"11",2020-06-21,"2 day ahead cum death",2020-06-23,"US","US","point",NA,121661.693688686
"12",2020-06-21,"1 day ahead cum death",2020-06-22,"US","US","point",NA,121017.446410363
"13",2020-06-21,"6 day ahead inc death",2020-06-27,"01","Alabama","point",NA,18.4841010565398
"14",2020-06-21,"5 day ahead inc death",2020-06-26,"01","Alabama","point",NA,17.8744230342187
"15",2020-06-21,"4 day ahead inc death",2020-06-25,"01","Alabama","point",NA,17.2121130283504
"16",2020-06-21,"3 day ahead inc death",2020-06-24,"01","Alabama","point",NA,16.5041219443343
"17",2020-06-21,"2 day ahead inc death",2020-06-23,"01","Alabama","point",NA,15.7576711816815
"18",2020-06-21,"1 day ahead inc death",2020-06-22,"01","Alabama","point",NA,14.9801311649745
"19",2020-06-21,"6 day ahead inc death",2020-06-27,"02","Alaska","point",NA,0.00539486557729241
"20",2020-06-21,"5 day ahead inc death",2020-06-26,"02","Alaska","point",NA,0.00569733080651957
"21",2020-06-21,"4 day ahead inc death",2020-06-25,"02","Alaska","point",NA,0.00599988703006105
"22",2020-06-21,"3 day ahead inc death",2020-06-24,"02","Alaska","point",NA,0.00630253427528871
"23",2020-06-21,"2 day ahead inc death",2020-06-23,"02","Alaska","point",NA,0.00660527256958687
"24",2020-06-21,"1 day ahead inc death",2020-06-22,"02","Alaska","point",NA,0.00690810194034697
