"location","target","type","quantile","forecast_date","target_end_date","value"
"US","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,1423060.02147793
"01","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,26926.3008238468
"02","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,5254.3267885357
"04","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,35018.487694537
"05","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,14847.2988079431
"06","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,154413.857455131
"08","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,31070.8113797606
"09","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,15343.0744325465
"10","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,4898.53210614188
"11","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,2045.49026655604
"12","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,69562.8987579567
"13","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,43086.0842786819
"15","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,572.029075672621
"16","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,9236.39403113675
"17","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,55879.9378300528
"18","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,46814.9377561679
"19","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,12133.3999447722
"20","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,28841.420041719
"21","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,24496.2410070517
"22","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,18753.2171369085
"23","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,1955.43742924939
"24","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,17264.5839220839
"25","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,33862.9731869495
"26","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,43022.2097900692
"27","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,37042.8021785511
"28","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,15896.9480014993
"29","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,22097.4023794007
"30","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,4803.73293834724
"31","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,17610.4590698048
"32","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,15446.9449515646
"33","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,5064.61182780269
"34","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,33975.0692781899
"35","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,13090.3119741506
"36","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,77448.9459108053
"37","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,30365.5225425114
"38","1 wk ahead inc case","point",NA,2020-12-06,2020-12-12,4100.69175299535
