forecast_date,target,target_end_date,quantile,value,location,type
2021-11-21,1 day ahead inc hosp,2021-11-22,0.01,6.205405474514736,02,quantile
2021-11-21,2 day ahead inc hosp,2021-11-23,0.01,4.929255435722428,02,quantile
2021-11-21,3 day ahead inc hosp,2021-11-24,0.01,3.9669561304063627,02,quantile
2021-11-21,4 day ahead inc hosp,2021-11-25,0.01,2.350118552737813,02,quantile
2021-11-21,5 day ahead inc hosp,2021-11-26,0.01,0.0,02,quantile
2021-11-21,6 day ahead inc hosp,2021-11-27,0.01,0.0,02,quantile
2021-11-21,7 day ahead inc hosp,2021-11-28,0.01,0.0,02,quantile
2021-11-21,8 day ahead inc hosp,2021-11-29,0.01,0.1608880249238691,02,quantile
2021-11-21,9 day ahead inc hosp,2021-11-30,0.01,0.0,02,quantile
2021-11-21,10 day ahead inc hosp,2021-12-01,0.01,0.0,02,quantile
2021-11-21,11 day ahead inc hosp,2021-12-02,0.01,0.0,02,quantile
2021-11-21,12 day ahead inc hosp,2021-12-03,0.01,0.0,02,quantile
2021-11-21,13 day ahead inc hosp,2021-12-04,0.01,0.0,02,quantile
2021-11-21,14 day ahead inc hosp,2021-12-05,0.01,0.0,02,quantile
2021-11-21,15 day ahead inc hosp,2021-12-06,0.01,0.0,02,quantile
2021-11-21,16 day ahead inc hosp,2021-12-07,0.01,0.0,02,quantile
2021-11-21,17 day ahead inc hosp,2021-12-08,0.01,0.0,02,quantile
2021-11-21,18 day ahead inc hosp,2021-12-09,0.01,0.0,02,quantile
2021-11-21,19 day ahead inc hosp,2021-12-10,0.01,0.0,02,quantile
2021-11-21,20 day ahead inc hosp,2021-12-11,0.01,0.0,02,quantile
2021-11-21,21 day ahead inc hosp,2021-12-12,0.01,0.0,02,quantile
2021-11-21,22 day ahead inc hosp,2021-12-13,0.01,0.0,02,quantile
2021-11-21,23 day ahead inc hosp,2021-12-14,0.01,0.0,02,quantile
2021-11-21,24 day ahead inc hosp,2021-12-15,0.01,0.0,02,quantile
2021-11-21,25 day ahead inc hosp,2021-12-16,0.01,0.0,02,quantile
2021-11-21,26 day ahead inc hosp,2021-12-17,0.01,0.0,02,quantile
2021-11-21,27 day ahead inc hosp,2021-12-18,0.01,0.0,02,quantile
2021-11-21,28 day ahead inc hosp,2021-12-19,0.01,0.0,02,quantile
2021-11-21,29 day ahead inc hosp,2021-12-20,0.01,0.0,02,quantile
2021-11-21,30 day ahead inc hosp,2021-12-21,0.01,0.0,02,quantile
2021-11-21,31 day ahead inc hosp,2021-12-22,0.01,0.0,02,quantile
2021-11-21,32 day ahead inc hosp,2021-12-23,0.01,0.0,02,quantile
2021-11-21,33 day ahead inc hosp,2021-12-24,0.01,0.0,02,quantile
2021-11-21,34 day ahead inc hosp,2021-12-25,0.01,0.0,02,quantile
2021-11-21,35 day ahead inc hosp,2021-12-26,0.01,0.0,02,quantile
2021-11-21,1 day ahead inc hosp,2021-11-22,0.025,7.92110210704538,02,quantile
2021-11-21,2 day ahead inc hosp,2021-11-23,0.025,6.739922356001918,02,quantile
2021-11-21,3 day ahead inc hosp,2021-11-24,0.025,5.8652940269401945,02,quantile
2021-11-21,4 day ahead inc hosp,2021-11-25,0.025,4.333096711282737,02,quantile
2021-11-21,5 day ahead inc hosp,2021-11-26,0.025,1.9042765326747304,02,quantile
2021-11-21,6 day ahead inc hosp,2021-11-27,0.025,0.5356541917179758,02,quantile
2021-11-21,7 day ahead inc hosp,2021-11-28,0.025,0.5929342735990506,02,quantile
2021-11-21,8 day ahead inc hosp,2021-11-29,0.025,2.5275206140139623,02,quantile
2021-11-21,9 day ahead inc hosp,2021-11-30,0.025,1.1395258687834797,02,quantile
2021-11-21,10 day ahead inc hosp,2021-12-01,0.025,0.0909938605732048,02,quantile
2021-11-21,11 day ahead inc hosp,2021-12-02,0.025,0.0,02,quantile
2021-11-21,12 day ahead inc hosp,2021-12-03,0.025,0.0,02,quantile
2021-11-21,13 day ahead inc hosp,2021-12-04,0.025,0.0,02,quantile
2021-11-21,14 day ahead inc hosp,2021-12-05,0.025,0.0,02,quantile
2021-11-21,15 day ahead inc hosp,2021-12-06,0.025,0.0,02,quantile
2021-11-21,16 day ahead inc hosp,2021-12-07,0.025,0.0,02,quantile
2021-11-21,17 day ahead inc hosp,2021-12-08,0.025,0.0,02,quantile
2021-11-21,18 day ahead inc hosp,2021-12-09,0.025,0.0,02,quantile
2021-11-21,19 day ahead inc hosp,2021-12-10,0.025,0.0,02,quantile
2021-11-21,20 day ahead inc hosp,2021-12-11,0.025,0.0,02,quantile
2021-11-21,21 day ahead inc hosp,2021-12-12,0.025,0.0,02,quantile
2021-11-21,22 day ahead inc hosp,2021-12-13,0.025,0.0,02,quantile
2021-11-21,23 day ahead inc hosp,2021-12-14,0.025,0.0,02,quantile
2021-11-21,24 day ahead inc hosp,2021-12-15,0.025,0.0,02,quantile
2021-11-21,25 day ahead inc hosp,2021-12-16,0.025,0.0,02,quantile
2021-11-21,26 day ahead inc hosp,2021-12-17,0.025,0.0,02,quantile
2021-11-21,27 day ahead inc hosp,2021-12-18,0.025,0.0,02,quantile
2021-11-21,28 day ahead inc hosp,2021-12-19,0.025,0.0,02,quantile
2021-11-21,29 day ahead inc hosp,2021-12-20,0.025,0.0,02,quantile
2021-11-21,30 day ahead inc hosp,2021-12-21,0.025,0.0,02,quantile
2021-11-21,31 day ahead inc hosp,2021-12-22,0.025,0.0,02,quantile
2021-11-21,32 day ahead inc hosp,2021-12-23,0.025,0.0,02,quantile
2021-11-21,33 day ahead inc hosp,2021-12-24,0.025,0.0,02,quantile
2021-11-21,34 day ahead inc hosp,2021-12-25,0.025,0.0,02,quantile
2021-11-21,35 day ahead inc hosp,2021-12-26,0.025,0.0,02,quantile
2021-11-21,1 day ahead inc hosp,2021-11-22,0.05,9.396695862346391,02,quantile
2021-11-21,2 day ahead inc hosp,2021-11-23,0.05,8.297195798075197,02,quantile
2021-11-21,3 day ahead inc hosp,2021-11-24,0.05,7.497969345213017,02,quantile
2021-11-21,4 day ahead inc hosp,2021-11-25,0.05,6.038567324307868,02,quantile
2021-11-21,5 day ahead inc hosp,2021-11-26,0.05,3.6831257893998277,02,quantile
2021-11-21,6 day ahead inc hosp,2021-11-27,0.05,2.391185116789485,02,quantile
2021-11-21,7 day ahead inc hosp,2021-11-28,0.05,2.532361593774434,02,quantile
2021-11-21,8 day ahead inc hosp,2021-11-29,0.05,4.562955202704767,02,quantile
2021-11-21,9 day ahead inc hosp,2021-11-30,0.05,3.2924863388447676,02,quantile
2021-11-21,10 day ahead inc hosp,2021-12-01,0.05,2.354368111189764,02,quantile
2021-11-21,11 day ahead inc hosp,2021-12-02,0.05,0.7706436733877631,02,quantile
2021-11-21,12 day ahead inc hosp,2021-12-03,0.05,0.0,02,quantile
2021-11-21,13 day ahead inc hosp,2021-12-04,0.05,0.0,02,quantile
2021-11-21,14 day ahead inc hosp,2021-12-05,0.05,0.0,02,quantile
2021-11-21,15 day ahead inc hosp,2021-12-06,0.05,0.0,02,quantile
2021-11-21,16 day ahead inc hosp,2021-12-07,0.05,0.0,02,quantile
2021-11-21,17 day ahead inc hosp,2021-12-08,0.05,0.0,02,quantile
2021-11-21,18 day ahead inc hosp,2021-12-09,0.05,0.0,02,quantile
2021-11-21,19 day ahead inc hosp,2021-12-10,0.05,0.0,02,quantile
2021-11-21,20 day ahead inc hosp,2021-12-11,0.05,0.0,02,quantile
2021-11-21,21 day ahead inc hosp,2021-12-12,0.05,0.0,02,quantile
2021-11-21,22 day ahead inc hosp,2021-12-13,0.05,0.0,02,quantile
2021-11-21,23 day ahead inc hosp,2021-12-14,0.05,0.0,02,quantile
2021-11-21,24 day ahead inc hosp,2021-12-15,0.05,0.0,02,quantile
2021-11-21,25 day ahead inc hosp,2021-12-16,0.05,0.0,02,quantile
2021-11-21,26 day ahead inc hosp,2021-12-17,0.05,0.0,02,quantile
2021-11-21,27 day ahead inc hosp,2021-12-18,0.05,0.0,02,quantile
2021-11-21,28 day ahead inc hosp,2021-12-19,0.05,0.0,02,quantile
2021-11-21,29 day ahead inc hosp,2021-12-20,0.05,0.0,02,quantile
2021-11-21,30 day ahead inc hosp,2021-12-21,0.05,0.0,02,quantile
2021-11-21,31 day ahead inc hosp,2021-12-22,0.05,0.0,02,quantile
2021-11-21,32 day ahead inc hosp,2021-12-23,0.05,0.0,02,quantile
2021-11-21,33 day ahead inc hosp,2021-12-24,0.05,0.0,02,quantile
2021-11-21,34 day ahead inc hosp,2021-12-25,0.05,0.0,02,quantile
2021-11-21,35 day ahead inc hosp,2021-12-26,0.05,0.0,02,quantile
2021-11-21,1 day ahead inc hosp,2021-11-22,0.1,11.09796095944579,02,quantile
