forecast_date,target,target_end_date,quantile,value,location,type
2022-01-30,29 day ahead inc hosp,2022-02-28,0.025,19.01556142158971,02,quantile
2022-01-30,30 day ahead inc hosp,2022-03-01,0.025,18.963995089279432,02,quantile
2022-01-30,31 day ahead inc hosp,2022-03-02,0.025,18.318635350569227,02,quantile
2022-01-30,32 day ahead inc hosp,2022-03-03,0.025,17.490864737660253,02,quantile
2022-01-30,33 day ahead inc hosp,2022-03-04,0.025,15.66701032318245,02,quantile
2022-01-30,34 day ahead inc hosp,2022-03-05,0.025,13.778693919139222,02,quantile
2022-01-30,35 day ahead inc hosp,2022-03-06,0.025,13.863433263012062,02,quantile
2022-01-30,1 day ahead inc hosp,2022-01-31,0.05,22.16332853189173,02,quantile
2022-01-30,2 day ahead inc hosp,2022-02-01,0.05,22.76712400994534,02,quantile
2022-01-30,3 day ahead inc hosp,2022-02-02,0.05,22.74225446685452,02,quantile
2022-01-30,4 day ahead inc hosp,2022-02-03,0.05,22.493668836847966,02,quantile
2022-01-30,5 day ahead inc hosp,2022-02-04,0.05,21.20603521830845,02,quantile
2022-01-30,6 day ahead inc hosp,2022-02-05,0.05,19.850738506009172,02,quantile
2022-01-30,7 day ahead inc hosp,2022-02-06,0.05,20.448730617723207,02,quantile
2022-01-30,8 day ahead inc hosp,2022-02-07,0.05,23.731674192851365,02,quantile
2022-01-30,9 day ahead inc hosp,2022-02-08,0.05,24.087742181728963,02,quantile
2022-01-30,10 day ahead inc hosp,2022-02-09,0.05,23.847857498944663,02,quantile
2022-01-30,11 day ahead inc hosp,2022-02-10,0.05,23.431288572951832,02,quantile
2022-01-30,12 day ahead inc hosp,2022-02-11,0.05,22.025916093601644,02,quantile
2022-01-30,13 day ahead inc hosp,2022-02-12,0.05,20.571415947681274,02,quantile
2022-01-30,14 day ahead inc hosp,2022-02-13,0.05,21.083972403709527,02,quantile
2022-01-30,15 day ahead inc hosp,2022-02-14,0.05,24.292582131377635,02,quantile
2022-01-30,16 day ahead inc hosp,2022-02-15,0.05,24.566566038422543,02,quantile
