location,type,quantile,value,target_end_date,forecast_date,target
01,point,,38,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.01,13,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.025,17,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.05,20,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.1,23,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.15,26,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.2,28,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.25,30,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.3,32,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.35,33,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.4,35,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.45,37,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.5,38,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.55,40,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.6,42,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.65,44,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.7,46,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.75,48,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.8,51,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.85,54,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.9,58,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.95,65,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.975,71,2023-12-11,2023-12-11,0 day ahead inc hosp
01,quantile,0.99,79,2023-12-11,2023-12-11,0 day ahead inc hosp
01,point,,36,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.01,11,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.025,14,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.05,17,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.1,20,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.15,23,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.2,25,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.25,27,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.3,29,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.35,31,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.4,32,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.45,34,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.5,36,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.55,38,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.6,40,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.65,42,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.7,44,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.75,46,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.8,49,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.85,52,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.9,57,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.95,64,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.975,71,2023-12-12,2023-12-11,1 day ahead inc hosp
01,quantile,0.99,79,2023-12-12,2023-12-11,1 day ahead inc hosp
01,point,,35,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.01,6,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.025,9,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.05,12,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.1,16,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.15,19,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.2,22,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.25,24,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.3,27,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.35,29,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.4,31,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.45,33,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.5,35,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.55,37,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.6,40,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.65,42,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.7,45,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.75,48,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.8,52,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.85,56,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.9,62,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.95,72,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.975,80,2023-12-21,2023-12-11,10 day ahead inc hosp
01,quantile,0.99,89,2023-12-21,2023-12-11,10 day ahead inc hosp
01,point,,35,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.01,6,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.025,8,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.05,12,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.1,16,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.15,19,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.2,22,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.25,24,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.3,26,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.35,29,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.4,31,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.45,33,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.5,35,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.55,37,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.6,40,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.65,42,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.7,45,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.75,48,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.8,52,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.85,57,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.9,63,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.95,72,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.975,81,2023-12-22,2023-12-11,11 day ahead inc hosp
01,quantile,0.99,92,2023-12-22,2023-12-11,11 day ahead inc hosp
01,point,,35,2023-12-23,2023-12-11,12 day ahead inc hosp
01,quantile,0.01,5,2023-12-23,2023-12-11,12 day ahead inc hosp
01,quantile,0.025,8,2023-12-23,2023-12-11,12 day ahead inc hosp
01,quantile,0.05,11,2023-12-23,2023-12-11,12 day ahead inc hosp
