location,type,quantile,value,target_end_date,forecast_date,target
01,point,,29,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.01,5,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.025,7,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.05,10,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.1,13,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.15,15,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.2,18,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.25,20,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.3,22,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.35,23,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.4,25,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.45,27,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.5,29,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.55,31,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.6,33,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.65,35,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.7,37,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.75,40,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.8,43,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.85,47,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.9,51,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.95,59,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.975,64,2023-10-30,2023-10-30,0 day ahead inc hosp
01,quantile,0.99,72,2023-10-30,2023-10-30,0 day ahead inc hosp
01,point,,29,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.01,4,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.025,7,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.05,9,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.1,13,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.15,15,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.2,17,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.25,19,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.3,21,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.35,23,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.4,25,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.45,27,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.5,29,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.55,31,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.6,33,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.65,35,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.7,38,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.75,41,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.8,44,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.85,48,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.9,53,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.95,60,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.975,66,2023-10-31,2023-10-30,1 day ahead inc hosp
01,quantile,0.99,74,2023-10-31,2023-10-30,1 day ahead inc hosp
01,point,,27,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.01,1,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.025,3,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.05,5,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.1,9,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.15,11,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.2,14,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.25,16,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.3,18,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.35,20,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.4,23,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.45,25,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.5,27,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.55,30,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.6,32,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.65,35,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.7,38,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.75,42,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.8,45,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.85,50,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.9,56,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.95,65,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.975,74,2023-11-09,2023-10-30,10 day ahead inc hosp
01,quantile,0.99,85,2023-11-09,2023-10-30,10 day ahead inc hosp
01,point,,26,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.01,1,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.025,3,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.05,5,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.1,8,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.15,11,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.2,13,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.25,15,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.3,18,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.35,20,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.4,22,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.45,24,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.5,26,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.55,29,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.6,31,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.65,34,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.7,37,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.75,41,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.8,45,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.85,50,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.9,56,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.95,66,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.975,74,2023-11-10,2023-10-30,11 day ahead inc hosp
01,quantile,0.99,84,2023-11-10,2023-10-30,11 day ahead inc hosp
01,point,,27,2023-11-11,2023-10-30,12 day ahead inc hosp
01,quantile,0.01,1,2023-11-11,2023-10-30,12 day ahead inc hosp
01,quantile,0.025,2,2023-11-11,2023-10-30,12 day ahead inc hosp
01,quantile,0.05,5,2023-11-11,2023-10-30,12 day ahead inc hosp
01,quantile,0.1,8,2023-11-11,2023-10-30,12 day ahead inc hosp
01,quantile,0.15,11,2023-11-11,2023-10-30,12 day ahead inc hosp
01,quantile,0.2,13,2023-11-11,2023-10-30,12 day ahead inc hosp
01,quantile,0.25,15,2023-11-11,2023-10-30,12 day ahead inc hosp
01,quantile,0.3,18,2023-11-11,2023-10-30,12 day ahead inc hosp
01,quantile,0.35,20,2023-11-11,2023-10-30,12 day ahead inc hosp
01,quantile,0.4,22,2023-11-11,2023-10-30,12 day ahead inc hosp
01,quantile,0.45,25,2023-11-11,2023-10-30,12 day ahead inc hosp
01,quantile,0.5,27,2023-11-11,2023-10-30,12 day ahead inc hosp
