location,type,quantile,value,target_end_date,forecast_date,target
01,point,,24,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.01,9,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.025,10,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.05,12,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.1,14,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.15,16,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.2,17,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.25,19,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.3,20,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.35,21,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.4,22,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.45,23,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.5,24,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.55,25,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.6,26,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.65,27,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.7,28,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.75,30,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.8,32,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.85,33,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.9,36,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.95,40,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.975,43,2023-05-08,2023-05-08,0 day ahead inc hosp
01,quantile,0.99,47,2023-05-08,2023-05-08,0 day ahead inc hosp
01,point,,23,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.01,7,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.025,9,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.05,11,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.1,13,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.15,14,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.2,16,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.25,17,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.3,18,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.35,19,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.4,21,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.45,22,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.5,23,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.55,24,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.6,25,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.65,26,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.7,27,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.75,29,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.8,31,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.85,33,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.9,35,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.95,39,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.975,42,2023-05-09,2023-05-08,1 day ahead inc hosp
01,quantile,0.99,45,2023-05-09,2023-05-08,1 day ahead inc hosp
01,point,,24,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.01,3,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.025,5,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.05,7,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.1,10,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.15,12,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.2,14,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.25,16,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.3,18,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.35,19,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.4,21,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.45,22,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.5,24,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.55,26,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.6,27,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.65,29,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.7,31,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.75,33,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.8,36,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.85,39,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.9,43,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.95,50,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.975,56,2023-05-18,2023-05-08,10 day ahead inc hosp
01,quantile,0.99,63,2023-05-18,2023-05-08,10 day ahead inc hosp
01,point,,19,2023-05-19,2023-05-08,11 day ahead inc hosp
01,quantile,0.01,2,2023-05-19,2023-05-08,11 day ahead inc hosp
01,quantile,0.025,3,2023-05-19,2023-05-08,11 day ahead inc hosp
01,quantile,0.05,4,2023-05-19,2023-05-08,11 day ahead inc hosp
01,quantile,0.1,7,2023-05-19,2023-05-08,11 day ahead inc hosp
01,quantile,0.15,9,2023-05-19,2023-05-08,11 day ahead inc hosp
01,quantile,0.2,11,2023-05-19,2023-05-08,11 day ahead inc hosp
01,quantile,0.25,12,2023-05-19,2023-05-08,11 day ahead inc hosp
