location,type,quantile,value,target_end_date,forecast_date,target
01,point,,78,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.01,36,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.025,42,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.05,47,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.1,53,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.15,58,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.2,61,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.25,64,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.3,67,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.35,70,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.4,73,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.45,76,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.5,78,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.55,81,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.6,83,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.65,86,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.7,90,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.75,93,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.8,97,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.85,102,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.9,109,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.95,119,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.975,128,2022-06-20,2022-06-20,0 day ahead inc hosp
01,quantile,0.99,139,2022-06-20,2022-06-20,0 day ahead inc hosp
01,point,,80,2022-06-21,2022-06-20,1 day ahead inc hosp
01,quantile,0.01,35,2022-06-21,2022-06-20,1 day ahead inc hosp
