"target","location","forecast_date","target_end_date","quantile","value","type"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.01,0,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.025,0,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.05,0,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.1,0,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.15,0,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.2,0,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.25,0.152180654172056,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.3,0.932904044309991,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.35,1.52543907097013,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.4,2.17055336146364,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.45,2.80001168432233,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.5,3.40678994230456,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.55,3.92458694607998,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.6,4.59958361550108,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.65,5.13140070649094,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.7,5.70480485703621,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.75,6.31174716246543,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.8,7.1168196672694,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.85,8.05929746096184,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.9,9.10266498004042,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.95,10.6009739898668,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.975,12.4681355694678,"quantile"
"1 day ahead inc hosp","02",2023-09-04,2023-09-05,0.99,14.5408169747208,"quantile"
"2 day ahead inc hosp","02",2023-09-04,2023-09-06,0.01,0,"quantile"
"2 day ahead inc hosp","02",2023-09-04,2023-09-06,0.025,0,"quantile"
"2 day ahead inc hosp","02",2023-09-04,2023-09-06,0.05,0,"quantile"
"2 day ahead inc hosp","02",2023-09-04,2023-09-06,0.1,0,"quantile"
"2 day ahead inc hosp","02",2023-09-04,2023-09-06,0.15,0,"quantile"
"2 day ahead inc hosp","02",2023-09-04,2023-09-06,0.2,0,"quantile"
"2 day ahead inc hosp","02",2023-09-04,2023-09-06,0.25,0,"quantile"
"2 day ahead inc hosp","02",2023-09-04,2023-09-06,0.3,0.489185635929675,"quantile"
