forecast_date,location,target,target_end_date,type,quantile,value
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.01,41.573052491682155
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.025,45.42082595896026
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.05,49.8561876065147
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.1,54.9782424132571
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.15,58.493849590018506
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.2,60.72465272045713
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.25,63.006646323452976
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.3,65.14592875498292
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.35,67.24193180481419
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.4,69.27127418996083
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.45,71.34702461450414
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.5,73.2483499069983
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.55,75.6197820105078
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.6,77.46462199114735
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.65,79.41033190491483
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.7,81.33682568253569
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.75,83.67221659279208
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.8,86.37139078614476
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.85,89.29629127611373
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.9,94.0191894026971
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.95,100.48046446626212
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.975,107.30541214404826
2023-02-13,01,0 day ahead inc hosp,2023-02-13,quantile,0.99,113.96016525300357
2023-02-13,01,1 day ahead inc hosp,2023-02-14,quantile,0.01,36.49479726312487
2023-02-13,01,1 day ahead inc hosp,2023-02-14,quantile,0.025,43.01828558449867
2023-02-13,01,1 day ahead inc hosp,2023-02-14,quantile,0.05,47.568855016722445
2023-02-13,01,1 day ahead inc hosp,2023-02-14,quantile,0.1,54.377248765643806
2023-02-13,01,1 day ahead inc hosp,2023-02-14,quantile,0.15,58.62948197299386
2023-02-13,01,1 day ahead inc hosp,2023-02-14,quantile,0.2,61.83657143076368
2023-02-13,01,1 day ahead inc hosp,2023-02-14,quantile,0.25,64.92146759405978
2023-02-13,01,1 day ahead inc hosp,2023-02-14,quantile,0.3,67.88587922038577
2023-02-13,01,1 day ahead inc hosp,2023-02-14,quantile,0.35,70.41041837416677
