forecast_date,location,target,target_end_date,type,quantile,value
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.01,18
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.025,21
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.05,23
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.1,27
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.15,29
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.2,31
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.25,33
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.3,34
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.35,36
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.4,37
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.45,39
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.5,41
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.55,42
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.6,44
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.65,45
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.7,47
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.75,49
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.8,52
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.85,55
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.9,58
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.95,63
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.975,69
2023-11-20,01,0 day ahead inc hosp,2023-11-20,quantile,0.99,75
2023-11-20,01,1 day ahead inc hosp,2023-11-21,quantile,0.01,18
2023-11-20,01,1 day ahead inc hosp,2023-11-21,quantile,0.025,21
2023-11-20,01,1 day ahead inc hosp,2023-11-21,quantile,0.05,23
2023-11-20,01,1 day ahead inc hosp,2023-11-21,quantile,0.1,26
2023-11-20,01,1 day ahead inc hosp,2023-11-21,quantile,0.15,29
2023-11-20,01,1 day ahead inc hosp,2023-11-21,quantile,0.2,31
