forecast_date,location,target,target_end_date,type,quantile,value
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.01,12
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.025,15
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.05,17
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.1,19
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.15,21
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.2,23
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.25,24
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.3,26
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.35,27
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.4,28
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.45,30
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.5,31
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.55,32
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.6,34
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.65,35
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.7,37
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.75,39
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.8,41
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.85,44
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.9,47
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.95,52
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.975,56
2023-07-24,01,0 day ahead inc hosp,2023-07-24,quantile,0.99,61
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.01,12
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.025,14
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.05,17
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.1,19
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.15,21
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.2,23
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.25,25
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.3,26
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.35,28
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.4,29
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.45,31
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.5,32
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.55,34
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.6,35
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.65,37
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.7,39
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.75,41
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.8,43
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.85,46
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.9,50
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.95,56
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.975,61
2023-07-24,01,1 day ahead inc hosp,2023-07-25,quantile,0.99,67
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.01,14
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.025,16
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.05,18
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.1,21
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.15,23
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.2,24
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.25,26
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.3,27
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.35,29
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.4,30
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.45,31
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.5,33
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.55,34
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.6,35
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.65,37
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.7,39
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.75,40
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.8,43
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.85,45
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.9,48
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.95,54
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.975,59
2023-07-24,01,2 day ahead inc hosp,2023-07-26,quantile,0.99,65
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.01,13
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.025,16
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.05,18
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.1,21
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.15,24
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.2,25
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.25,27
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.3,29
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.35,30
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.4,32
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.45,33
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.5,35
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.55,37
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.6,38
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.65,40
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.7,42
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.75,44
2023-07-24,01,3 day ahead inc hosp,2023-07-27,quantile,0.8,46
