forecast_date,location,quantile,target,target_end_date,type,value
2021-07-26,US,NA,1 wk ahead inc case,2021-07-31,point,365475.52349155507
2021-07-26,US,0.025,1 wk ahead inc case,2021-07-31,quantile,153519.8443146211
2021-07-26,US,0.1,1 wk ahead inc case,2021-07-31,quantile,226885.15416953265
2021-07-26,US,0.25,1 wk ahead inc case,2021-07-31,quantile,292534.42139562045
2021-07-26,US,0.5,1 wk ahead inc case,2021-07-31,quantile,365475.52349155507
2021-07-26,US,0.75,1 wk ahead inc case,2021-07-31,quantile,438416.6255874897
2021-07-26,US,0.9,1 wk ahead inc case,2021-07-31,quantile,504065.89281357743
2021-07-26,US,0.975,1 wk ahead inc case,2021-07-31,quantile,577431.202668489
2021-07-26,US,NA,2 wk ahead inc case,2021-08-07,point,396631.46302991314
2021-07-26,US,0.025,2 wk ahead inc case,2021-08-07,quantile,166607.0544831975
2021-07-26,US,0.1,2 wk ahead inc case,2021-08-07,quantile,246226.5866078129
2021-07-26,US,0.25,2 wk ahead inc case,2021-08-07,quantile,317472.301390479
2021-07-26,US,0.5,2 wk ahead inc case,2021-08-07,quantile,396631.46302991314
2021-07-26,US,0.75,2 wk ahead inc case,2021-08-07,quantile,475790.6246693473
2021-07-26,US,0.9,2 wk ahead inc case,2021-08-07,quantile,547036.3394520134
2021-07-26,US,0.975,2 wk ahead inc case,2021-08-07,quantile,626655.8715766286
2021-07-26,US,NA,3 wk ahead inc case,2021-08-14,point,366256.3415761995
2021-07-26,US,0.025,3 wk ahead inc case,2021-08-14,quantile,153847.83090493354
2021-07-26,US,0.1,3 wk ahead inc case,2021-08-14,quantile,227369.88165503007
2021-07-26,US,0.25,3 wk ahead inc case,2021-08-14,quantile,293159.40488131193
2021-07-26,US,0.5,3 wk ahead inc case,2021-08-14,quantile,366256.3415761995
2021-07-26,US,0.75,3 wk ahead inc case,2021-08-14,quantile,439353.278271087
2021-07-26,US,0.9,3 wk ahead inc case,2021-08-14,quantile,505142.80149736884
2021-07-26,US,0.975,3 wk ahead inc case,2021-08-14,quantile,578664.8522474653
2021-07-26,US,NA,4 wk ahead inc case,2021-08-21,point,287573.07039340993
2021-07-26,US,0.025,4 wk ahead inc case,2021-08-21,quantile,120796.52441319775
2021-07-26,US,0.1,4 wk ahead inc case,2021-08-21,quantile,178523.7484247623
2021-07-26,US,0.25,4 wk ahead inc case,2021-08-21,quantile,230179.63269554506
2021-07-26,US,0.5,4 wk ahead inc case,2021-08-21,quantile,287573.07039340993
2021-07-26,US,0.75,4 wk ahead inc case,2021-08-21,quantile,344966.50809127477
2021-07-26,US,0.9,4 wk ahead inc case,2021-08-21,quantile,396622.3923620576
2021-07-26,US,0.975,4 wk ahead inc case,2021-08-21,quantile,454349.6163736221
2021-07-26,US,NA,1 wk ahead inc death,2021-07-31,point,1832.0768533479943
2021-07-26,US,0.01,1 wk ahead inc death,2021-07-31,quantile,1037.8779710440708
2021-07-26,US,0.025,1 wk ahead inc death,2021-07-31,quantile,1162.9588666326813
2021-07-26,US,0.05,1 wk ahead inc death,2021-07-31,quantile,1270.535337285173
2021-07-26,US,0.1,1 wk ahead inc death,2021-07-31,quantile,1394.5641183319512
2021-07-26,US,0.15,1 wk ahead inc death,2021-07-31,quantile,1478.2457480762537
2021-07-26,US,0.2,1 wk ahead inc death,2021-07-31,quantile,1544.7532546353784
2021-07-26,US,0.25,1 wk ahead inc death,2021-07-31,quantile,1601.810773322434
2021-07-26,US,0.3,1 wk ahead inc death,2021-07-31,quantile,1653.0501885401586
2021-07-26,US,0.35,1 wk ahead inc death,2021-07-31,quantile,1700.531142938759
2021-07-26,US,0.4,1 wk ahead inc death,2021-07-31,quantile,1745.5859254903767
2021-07-26,US,0.45,1 wk ahead inc death,2021-07-31,quantile,1789.1769490238169
2021-07-26,US,0.5,1 wk ahead inc death,2021-07-31,quantile,1832.0768533479943
2021-07-26,US,0.55,1 wk ahead inc death,2021-07-31,quantile,1874.9767576721722
2021-07-26,US,0.6,1 wk ahead inc death,2021-07-31,quantile,1918.5677812056124
2021-07-26,US,0.65,1 wk ahead inc death,2021-07-31,quantile,1963.6225637572297
2021-07-26,US,0.7,1 wk ahead inc death,2021-07-31,quantile,2011.10351815583
2021-07-26,US,0.75,1 wk ahead inc death,2021-07-31,quantile,2062.3429333735553
2021-07-26,US,0.8,1 wk ahead inc death,2021-07-31,quantile,2119.4004520606104
2021-07-26,US,0.85,1 wk ahead inc death,2021-07-31,quantile,2185.907958619735
2021-07-26,US,0.9,1 wk ahead inc death,2021-07-31,quantile,2269.589588364038
2021-07-26,US,0.95,1 wk ahead inc death,2021-07-31,quantile,2393.6183694108154
2021-07-26,US,0.975,1 wk ahead inc death,2021-07-31,quantile,2501.194840063307
2021-07-26,US,0.99,1 wk ahead inc death,2021-07-31,quantile,2626.2757356519187
2021-07-26,US,NA,2 wk ahead inc death,2021-08-07,point,1679.6803809589142
2021-07-26,US,0.01,2 wk ahead inc death,2021-08-07,quantile,951.5448342717735
2021-07-26,US,0.025,2 wk ahead inc death,2021-08-07,quantile,1066.2212060457107
2021-07-26,US,0.05,2 wk ahead inc death,2021-08-07,quantile,1164.849212222191
2021-07-26,US,0.1,2 wk ahead inc death,2021-08-07,quantile,1278.5609868225938
2021-07-26,US,0.15,2 wk ahead inc death,2021-08-07,quantile,1355.2817812976248
2021-07-26,US,0.2,2 wk ahead inc death,2021-08-07,quantile,1416.2570366477007
2021-07-26,US,0.25,2 wk ahead inc death,2021-08-07,quantile,1468.568376398381
2021-07-26,US,0.3,2 wk ahead inc death,2021-08-07,quantile,1515.545576244414
2021-07-26,US,0.35,2 wk ahead inc death,2021-08-07,quantile,1559.0769529040726
2021-07-26,US,0.4,2 wk ahead inc death,2021-08-07,quantile,1600.3839724114837
2021-07-26,US,0.45,2 wk ahead inc death,2021-08-07,quantile,1640.3489918271462
2021-07-26,US,0.5,2 wk ahead inc death,2021-08-07,quantile,1679.6803809589142
2021-07-26,US,0.55,2 wk ahead inc death,2021-08-07,quantile,1719.0117700906826
2021-07-26,US,0.6,2 wk ahead inc death,2021-08-07,quantile,1758.9767895063444
2021-07-26,US,0.65,2 wk ahead inc death,2021-08-07,quantile,1800.2838090137554
2021-07-26,US,0.7,2 wk ahead inc death,2021-08-07,quantile,1843.8151856734146
2021-07-26,US,0.75,2 wk ahead inc death,2021-08-07,quantile,1890.7923855194476
2021-07-26,US,0.8,2 wk ahead inc death,2021-08-07,quantile,1943.1037252701276
