location,quantile,type,target,value
US,NA,point,1 day ahead inc,848
US,NA,point,1 wk ahead inc,2135
US,NA,point,2 day ahead inc,1090
US,NA,point,3 day ahead inc,1403
US,NA,point,4 day ahead inc,1751
US,NA,point,5 day ahead inc,2135
US,NA,point,6 day ahead inc,2636
US,0.01,quantile,1 day ahead inc,678
US,0.025,quantile,1 day ahead inc,704
US,0.05,quantile,1 day ahead inc,727
US,0.1,quantile,1 day ahead inc,753
US,0.15,quantile,1 day ahead inc,772
US,0.2,quantile,1 day ahead inc,786
US,0.25,quantile,1 day ahead inc,798
US,0.3,quantile,1 day ahead inc,808
US,0.35,quantile,1 day ahead inc,818
US,0.4,quantile,1 day ahead inc,827
US,0.45,quantile,1 day ahead inc,837
US,0.5,quantile,1 day ahead inc,848
US,0.55,quantile,1 day ahead inc,860
US,0.6,quantile,1 day ahead inc,876
US,0.65,quantile,1 day ahead inc,914
US,0.7,quantile,1 day ahead inc,983
US,0.75,quantile,1 day ahead inc,1004
US,0.8,quantile,1 day ahead inc,1020
US,0.85,quantile,1 day ahead inc,1032
US,0.9,quantile,1 day ahead inc,1047
US,0.95,quantile,1 day ahead inc,1066
US,0.975,quantile,1 day ahead inc,1082
US,0.99,quantile,1 day ahead inc,1097
US,0.01,quantile,1 wk ahead inc,1772
US,0.025,quantile,1 wk ahead inc,1842
US,0.05,quantile,1 wk ahead inc,1903
US,0.1,quantile,1 wk ahead inc,1973
US,0.15,quantile,1 wk ahead inc,2011
US,0.2,quantile,1 wk ahead inc,2035
US,0.25,quantile,1 wk ahead inc,2054
US,0.3,quantile,1 wk ahead inc,2072
US,0.35,quantile,1 wk ahead inc,2087
US,0.4,quantile,1 wk ahead inc,2102
US,0.45,quantile,1 wk ahead inc,2118
US,0.5,quantile,1 wk ahead inc,2135
US,0.55,quantile,1 wk ahead inc,2153
US,0.6,quantile,1 wk ahead inc,2176
US,0.65,quantile,1 wk ahead inc,2204
US,0.7,quantile,1 wk ahead inc,2238
US,0.75,quantile,1 wk ahead inc,2273
US,0.8,quantile,1 wk ahead inc,2311
US,0.85,quantile,1 wk ahead inc,2355
US,0.9,quantile,1 wk ahead inc,2405
US,0.95,quantile,1 wk ahead inc,2478
US,0.975,quantile,1 wk ahead inc,2541
US,0.99,quantile,1 wk ahead inc,2614
US,0.01,quantile,2 day ahead inc,864
US,0.025,quantile,2 day ahead inc,895
US,0.05,quantile,2 day ahead inc,925
US,0.1,quantile,2 day ahead inc,962
US,0.15,quantile,2 day ahead inc,987
US,0.2,quantile,2 day ahead inc,1006
US,0.25,quantile,2 day ahead inc,1022
US,0.3,quantile,2 day ahead inc,1036
US,0.35,quantile,2 day ahead inc,1050
US,0.4,quantile,2 day ahead inc,1062
US,0.45,quantile,2 day ahead inc,1076
US,0.5,quantile,2 day ahead inc,1090
US,0.55,quantile,2 day ahead inc,1107
US,0.6,quantile,2 day ahead inc,1131
US,0.65,quantile,2 day ahead inc,1170
US,0.7,quantile,2 day ahead inc,1211
US,0.75,quantile,2 day ahead inc,1233
US,0.8,quantile,2 day ahead inc,1251
US,0.85,quantile,2 day ahead inc,1266
US,0.9,quantile,2 day ahead inc,1283
US,0.95,quantile,2 day ahead inc,1304
US,0.975,quantile,2 day ahead inc,1321
US,0.99,quantile,2 day ahead inc,1340
US,0.01,quantile,3 day ahead inc,1099
US,0.025,quantile,3 day ahead inc,1139
US,0.05,quantile,3 day ahead inc,1177
US,0.1,quantile,3 day ahead inc,1226
US,0.15,quantile,3 day ahead inc,1260
US,0.2,quantile,3 day ahead inc,1287
US,0.25,quantile,3 day ahead inc,1310
US,0.3,quantile,3 day ahead inc,1330
US,0.35,quantile,3 day ahead inc,1348
US,0.4,quantile,3 day ahead inc,1366
US,0.45,quantile,3 day ahead inc,1385
US,0.5,quantile,3 day ahead inc,1403
US,0.55,quantile,3 day ahead inc,1422
US,0.6,quantile,3 day ahead inc,1440
US,0.65,quantile,3 day ahead inc,1456
US,0.7,quantile,3 day ahead inc,1472
US,0.75,quantile,3 day ahead inc,1485
US,0.8,quantile,3 day ahead inc,1500
US,0.85,quantile,3 day ahead inc,1516
US,0.9,quantile,3 day ahead inc,1533
US,0.95,quantile,3 day ahead inc,1556
US,0.975,quantile,3 day ahead inc,1577
US,0.99,quantile,3 day ahead inc,1598
US,0.01,quantile,4 day ahead inc,1396
US,0.025,quantile,4 day ahead inc,1449
US,0.05,quantile,4 day ahead inc,1497
US,0.1,quantile,4 day ahead inc,1561
US,0.15,quantile,4 day ahead inc,1607
US,0.2,quantile,4 day ahead inc,1643
US,0.25,quantile,4 day ahead inc,1672
US,0.3,quantile,4 day ahead inc,1693
US,0.35,quantile,4 day ahead inc,1711
US,0.4,quantile,4 day ahead inc,1726
US,0.45,quantile,4 day ahead inc,1739
US,0.5,quantile,4 day ahead inc,1751
US,0.55,quantile,4 day ahead inc,1763
US,0.6,quantile,4 day ahead inc,1775
US,0.65,quantile,4 day ahead inc,1787
