location,quantile,type,target,value
US,NA,point,1 day ahead inc,169
US,NA,point,1 wk ahead inc,645
US,NA,point,2 day ahead inc,235
US,NA,point,3 day ahead inc,329
US,NA,point,4 day ahead inc,460
US,NA,point,5 day ahead inc,645
US,NA,point,6 day ahead inc,905
US,0.01,quantile,1 day ahead inc,108
US,0.025,quantile,1 day ahead inc,118
US,0.05,quantile,1 day ahead inc,126
US,0.1,quantile,1 day ahead inc,135
US,0.15,quantile,1 day ahead inc,141
US,0.2,quantile,1 day ahead inc,146
US,0.25,quantile,1 day ahead inc,151
US,0.3,quantile,1 day ahead inc,154
US,0.35,quantile,1 day ahead inc,158
US,0.4,quantile,1 day ahead inc,162
US,0.45,quantile,1 day ahead inc,165
US,0.5,quantile,1 day ahead inc,169
US,0.55,quantile,1 day ahead inc,173
US,0.6,quantile,1 day ahead inc,177
US,0.65,quantile,1 day ahead inc,181
US,0.7,quantile,1 day ahead inc,186
US,0.75,quantile,1 day ahead inc,192
US,0.8,quantile,1 day ahead inc,199
US,0.85,quantile,1 day ahead inc,209
US,0.9,quantile,1 day ahead inc,222
US,0.95,quantile,1 day ahead inc,244
US,0.975,quantile,1 day ahead inc,264
US,0.99,quantile,1 day ahead inc,287
US,0.01,quantile,1 wk ahead inc,363
US,0.025,quantile,1 wk ahead inc,394
US,0.05,quantile,1 wk ahead inc,424
US,0.1,quantile,1 wk ahead inc,466
US,0.15,quantile,1 wk ahead inc,494
US,0.2,quantile,1 wk ahead inc,518
US,0.25,quantile,1 wk ahead inc,540
US,0.3,quantile,1 wk ahead inc,560
US,0.35,quantile,1 wk ahead inc,580
US,0.4,quantile,1 wk ahead inc,601
US,0.45,quantile,1 wk ahead inc,622
US,0.5,quantile,1 wk ahead inc,645
US,0.55,quantile,1 wk ahead inc,668
US,0.6,quantile,1 wk ahead inc,691
US,0.65,quantile,1 wk ahead inc,718
US,0.7,quantile,1 wk ahead inc,749
US,0.75,quantile,1 wk ahead inc,782
US,0.8,quantile,1 wk ahead inc,825
US,0.85,quantile,1 wk ahead inc,878
US,0.9,quantile,1 wk ahead inc,948
US,0.95,quantile,1 wk ahead inc,1055
US,0.975,quantile,1 wk ahead inc,1155
US,0.99,quantile,1 wk ahead inc,1267
US,0.01,quantile,2 day ahead inc,150
US,0.025,quantile,2 day ahead inc,163
US,0.05,quantile,2 day ahead inc,174
US,0.1,quantile,2 day ahead inc,186
US,0.15,quantile,2 day ahead inc,194
US,0.2,quantile,2 day ahead inc,201
US,0.25,quantile,2 day ahead inc,207
US,0.3,quantile,2 day ahead inc,214
US,0.35,quantile,2 day ahead inc,219
US,0.4,quantile,2 day ahead inc,224
US,0.45,quantile,2 day ahead inc,230
US,0.5,quantile,2 day ahead inc,235
US,0.55,quantile,2 day ahead inc,241
US,0.6,quantile,2 day ahead inc,247
US,0.65,quantile,2 day ahead inc,254
US,0.7,quantile,2 day ahead inc,262
US,0.75,quantile,2 day ahead inc,271
US,0.8,quantile,2 day ahead inc,283
US,0.85,quantile,2 day ahead inc,297
US,0.9,quantile,2 day ahead inc,318
US,0.95,quantile,2 day ahead inc,350
US,0.975,quantile,2 day ahead inc,378
US,0.99,quantile,2 day ahead inc,411
US,0.01,quantile,3 day ahead inc,205
US,0.025,quantile,3 day ahead inc,221
US,0.05,quantile,3 day ahead inc,235
US,0.1,quantile,3 day ahead inc,253
US,0.15,quantile,3 day ahead inc,266
US,0.2,quantile,3 day ahead inc,276
US,0.25,quantile,3 day ahead inc,286
US,0.3,quantile,3 day ahead inc,294
US,0.35,quantile,3 day ahead inc,303
US,0.4,quantile,3 day ahead inc,312
US,0.45,quantile,3 day ahead inc,320
US,0.5,quantile,3 day ahead inc,329
US,0.55,quantile,3 day ahead inc,338
US,0.6,quantile,3 day ahead inc,347
US,0.65,quantile,3 day ahead inc,359
US,0.7,quantile,3 day ahead inc,371
US,0.75,quantile,3 day ahead inc,386
US,0.8,quantile,3 day ahead inc,404
US,0.85,quantile,3 day ahead inc,426
US,0.9,quantile,3 day ahead inc,457
US,0.95,quantile,3 day ahead inc,505
US,0.975,quantile,3 day ahead inc,546
US,0.99,quantile,3 day ahead inc,596
US,0.01,quantile,4 day ahead inc,273
US,0.025,quantile,4 day ahead inc,296
US,0.05,quantile,4 day ahead inc,317
US,0.1,quantile,4 day ahead inc,344
US,0.15,quantile,4 day ahead inc,363
US,0.2,quantile,4 day ahead inc,379
US,0.25,quantile,4 day ahead inc,393
US,0.3,quantile,4 day ahead inc,406
