forecast_date,location,location_name,target,type,target_end_date,quantile,value
2020-05-30,01,Alabama,1 day ahead cum death,point,2020-05-31,,631.693388928731
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.010,580.0
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.025,580.0
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.050,583.133951580124
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.100,593.8593701829959
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.150,601.0957591953146
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.200,606.8470117841056
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.250,611.7810744040474
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.300,616.2120151303712
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.350,620.3179420554839
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.400,624.2140651879463
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.450,627.9836094080694
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.500,631.693388928731
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.550,635.4031684493926
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.600,639.1727126695157
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.650,643.0688358019781
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.700,647.1747627270908
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.750,651.6057034534145
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.800,656.5397660733564
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.850,662.2910186621474
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.900,669.5274076744661
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.950,680.252826277338
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.975,689.5555273909802
2020-05-30,01,Alabama,1 day ahead cum death,quantile,2020-05-31,0.990,700.3719278513217
2020-05-30,01,Alabama,1 day ahead inc death,point,2020-05-31,,9.571625866353612
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.010,2.4381997618314175
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.025,3.5616656161026183
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.050,4.527908229991348
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.100,5.641924081870348
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.150,6.393545288330987
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.200,6.9909099963487815
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.250,7.503395725465872
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.300,7.963623749250343
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.350,8.390093600973188
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.400,8.794771785680439
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.450,9.18630261268718
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.500,9.571625866353612
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.550,9.956949120020044
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.600,10.348479947026787
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.650,10.753158131734038
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.700,11.179627983456882
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.750,11.639856007241354
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.800,12.152341736358444
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.850,12.749706444376237
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.900,13.50132765083688
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.950,14.615343502715877
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.975,15.581586116604605
2020-05-30,01,Alabama,1 day ahead inc death,quantile,2020-05-31,0.990,16.705051970875807
2020-05-30,01,Alabama,1 day ahead inc hosp,point,2020-05-31,,27.726499787719746
