value,target,target_end_date,type,quantile,forecast_date,location
170.49493598938034,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,51089
137.1617336273198,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,51089
36.97744035720825,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,48365
34.58158493041992,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,48365
150.97748947143555,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,17041
115.7973051071167,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,17041
265.67846488952637,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,47043
214.0517864227295,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,47043
50.44040822982788,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,31041
40.12488365173351,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,31041
438.2708282470703,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,18099
314.3580207824707,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,18099
113.56131076812744,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,22011
95.70106315612793,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,22011
44.223097801208496,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,13099
44.28979015350342,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,13099
60.808642864227295,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,35057
44.788535594940186,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,35057
117.1115140914917,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,51187
91.80489635467552,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,51187
70.28611993789673,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,27101
55.3618106842041,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,27101
125.46521282196045,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,17165
91.26150798797607,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,17165
28.143311023712158,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,48405
24.945788383483887,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,48405
105.07680702209473,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,55107
78.32604217529297,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,55107
424.78816986083984,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,18109
327.6545448303218,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,18109
90.75705242156982,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,30085
75.9000577926638,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,30085
61.070923805236816,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,18025
49.63533878326422,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,18025
54.88787651062012,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,12065
47.20188236236572,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,12065
10.83060085773468,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,30107
8.020671427249923,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,30107
156.47332382202103,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,47077
128.31542015075684,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,47077
81.29946994781483,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,02110
70.46426486968994,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,02110
3451.9091796875,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,17097
2708.614440917976,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,17097
6028.315551757798,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,48439
4403.837646484375,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,48439
49.211777687072754,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,30101
41.047144412994385,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,30101
248.6548461914067,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,21179
180.43110275268555,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,21179
116.08464431762695,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,28027
95.74146175384521,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,28027
23.663342237472534,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,29203
20.508588314056396,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,29203
32.65129685401922,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,48483
25.46973729133606,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,48483
78.87158966064453,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,51023
62.82737684249889,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,51023
436.0036392211914,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,13215
396.7683334350586,2 wk ahead inc case,2020-12-19,point,NA,2020-12-03,13215
122.12618446350098,1 wk ahead inc case,2020-12-12,point,NA,2020-12-03,21051
