value,target,target_end_date,type,quantile,forecast_date,location
15.89003336429596,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,08115
159.33783340454102,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,39121
110.91687488555908,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,39121
25.77005171775815,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,46137
19.93113684654236,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,46137
63.58572196960449,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,48145
42.778422832489014,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,48145
1444.4559631347656,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,34015
851.0177688598651,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,34015
291.0479393005371,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,47073
205.26177406311035,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,47073
201.3516578674321,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,53017
129.5251579284668,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,53017
255.3946285247805,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,55047
192.24667739868164,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,55047
126.42272281646729,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,56009
91.6639633178711,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,56009
289.9122486114502,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,18179
201.39797592163086,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,18179
116.62231540679932,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,05107
81.24633502960205,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,05107
64.99456596374512,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,08051
47.89825010299677,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,08051
179.86202716827393,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,19081
127.39814472198475,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,19081
22.134222626686096,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,23003
12.712847232818632,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,23003
17.183014631271362,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,21201
11.682425141334534,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,21201
156.54111289978027,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,18047
102.52399158477783,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,18047
303.79412841796875,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,26043
228.4926567077639,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,26043
188.37888336181663,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,30047
137.43562126159645,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,30047
73.28525686264038,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,30087
69.0014419555664,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,30087
