BPagano-RtDriven,CEPH-Rtrend_covid,CMU-TimeSeries,COVIDhub-baseline,CU-select,CUB_PopCouncil-SLSTM,GT-DeepCOVID,JHU_IDD-CovidSP,JHUAPLTDWG-ICATTML,Karlen-pypm,MOBS-GLEAM_COVID,MUNI-ARIMA,PSI-DICE,UMass-gbq,UMass-sarix,UMass-trends_ensemble,USC-SI_kJalpha,UT-Osiris,locations
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,78
1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,72
1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,32
1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,53
1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,38
1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,12
1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,15
1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,23
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,02
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,06
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,11
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,13
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,27
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,41
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,55
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,US
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,01
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,04
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,05
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,08
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,09
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,10
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,16
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,17
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,18
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,19
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,20
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,21
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,22
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,24
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,25
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,26
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,28
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,29
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,30
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,31
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,33
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,34
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,35
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,36
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,37
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,39
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,40
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,42
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,44
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,45
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,46
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,47
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,48
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,49
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,50
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,51
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,54
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,56
