forecast_date,target,target_end_date,quantile,type,location,value
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,02,5.973531256766101
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,02,23.966933755040156
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,02,76.25119243838789
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,02,253.12438732539096
2023-02-05,1 wk ahead inc case,2023-02-11,0.750,quantile,02,843.2896980020913
2023-02-05,1 wk ahead inc case,2023-02-11,0.900,quantile,02,2332.876133675825
2023-02-05,1 wk ahead inc case,2023-02-11,0.975,quantile,02,5529.6915598475
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,01,95.58325391110566
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,01,234.07178124381755
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,01,791.8757430959574
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,01,2548.344732139117
2023-02-05,1 wk ahead inc case,2023-02-11,0.750,quantile,01,6092.981739793855
2023-02-05,1 wk ahead inc case,2023-02-11,0.900,quantile,01,16391.652355377326
2023-02-05,1 wk ahead inc case,2023-02-11,0.975,quantile,01,27646.136387753177
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,05,29.296134530483027
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,05,145.66783068373886
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,05,469.33762677903496
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,05,1372.312109133052
2023-02-05,1 wk ahead inc case,2023-02-11,0.750,quantile,05,3074.414236544989
2023-02-05,1 wk ahead inc case,2023-02-11,0.900,quantile,05,6760.13877285379
2023-02-05,1 wk ahead inc case,2023-02-11,0.975,quantile,05,20827.524610814038
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,04,90.90232057464767
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,04,340.2637265137146
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,04,1076.562529478976
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,04,4082.6248626185707
2023-02-05,1 wk ahead inc case,2023-02-11,0.750,quantile,04,10372.60077402624
2023-02-05,1 wk ahead inc case,2023-02-11,0.900,quantile,04,20892.49150562637
2023-02-05,1 wk ahead inc case,2023-02-11,0.975,quantile,04,42170.23443158225
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,06,363.1483082344708
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,06,856.0641730455948
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,06,3677.956469536216
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,06,13850.560886342424
2023-02-05,1 wk ahead inc case,2023-02-11,0.750,quantile,06,38196.3760492678
2023-02-05,1 wk ahead inc case,2023-02-11,0.900,quantile,06,103857.27009291243
2023-02-05,1 wk ahead inc case,2023-02-11,0.975,quantile,06,194269.6139094095
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,08,24.755662784443203
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,08,71.14062190690291
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,08,218.5733522223577
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,08,1265.6844092499282
2023-02-05,1 wk ahead inc case,2023-02-11,0.750,quantile,08,3618.0875825454405
2023-02-05,1 wk ahead inc case,2023-02-11,0.900,quantile,08,12018.519592853318
2023-02-05,1 wk ahead inc case,2023-02-11,0.975,quantile,08,31294.828214054698
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,09,71.44262325542863
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,09,217.73631550335185
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,09,420.5206087349757
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,09,1112.5970568865441
2023-02-05,1 wk ahead inc case,2023-02-11,0.750,quantile,09,3387.509804463147
2023-02-05,1 wk ahead inc case,2023-02-11,0.900,quantile,09,6472.648866935274
2023-02-05,1 wk ahead inc case,2023-02-11,0.975,quantile,09,17129.22568427085
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,11,1.4359093943662502
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,11,7.7407222010583885
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,11,31.94448081734812
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,11,209.67772285324168
2023-02-05,1 wk ahead inc case,2023-02-11,0.750,quantile,11,699.2797551522384
2023-02-05,1 wk ahead inc case,2023-02-11,0.900,quantile,11,1374.4914833501762
2023-02-05,1 wk ahead inc case,2023-02-11,0.975,quantile,11,4108.66078601765
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,10,6.262041517122071
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,10,31.382498870077164
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,10,91.24639185610141
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,10,312.63147499254126
2023-02-05,1 wk ahead inc case,2023-02-11,0.750,quantile,10,808.9185367496395
2023-02-05,1 wk ahead inc case,2023-02-11,0.900,quantile,10,1885.4244674732815
2023-02-05,1 wk ahead inc case,2023-02-11,0.975,quantile,10,5020.772239664695
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,12,411.2821581784255
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,12,979.0209118871614
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,12,2952.506474299356
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,12,10110.778792927511
2023-02-05,1 wk ahead inc case,2023-02-11,0.750,quantile,12,29866.790518658454
2023-02-05,1 wk ahead inc case,2023-02-11,0.900,quantile,12,63695.390410065746
2023-02-05,1 wk ahead inc case,2023-02-11,0.975,quantile,12,168093.79331334162
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,13,113.2533540738624
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,13,481.08644252321534
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,13,2206.894269405479
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,13,8065.697160583122
2023-02-05,1 wk ahead inc case,2023-02-11,0.750,quantile,13,17568.535012181008
2023-02-05,1 wk ahead inc case,2023-02-11,0.900,quantile,13,42629.11778173023
2023-02-05,1 wk ahead inc case,2023-02-11,0.975,quantile,13,111707.15276719289
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,15,3.0377740267218107
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,15,14.557736916877214
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,15,79.49056170338132
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,15,290.7275344963899
2023-02-05,1 wk ahead inc case,2023-02-11,0.750,quantile,15,931.8266116503439
2023-02-05,1 wk ahead inc case,2023-02-11,0.900,quantile,15,2719.49102742948
2023-02-05,1 wk ahead inc case,2023-02-11,0.975,quantile,15,8601.909406522196
2023-02-05,1 wk ahead inc case,2023-02-11,0.025,quantile,19,21.498974696595436
2023-02-05,1 wk ahead inc case,2023-02-11,0.100,quantile,19,62.9157861926823
2023-02-05,1 wk ahead inc case,2023-02-11,0.250,quantile,19,176.5079018024772
2023-02-05,1 wk ahead inc case,2023-02-11,0.500,quantile,19,595.4985316312852
