,forecast_date,target,target_end_date,location,type,quantile,value
1012,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.01,5275.52
1013,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.025,5869.799999999998
1014,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.05,6490.8
1015,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.1,7338.200000000002
1016,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.15,8539.0
1017,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.2,12284.2
1018,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.25,14158.0
1019,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.3,15984.2
1020,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.35,20643.4
1021,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.4,24441.60000000001
1022,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.45,26668.0
1023,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.5,28406.0
1024,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.55,30350.0
1025,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.6,32425.6
1026,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.65,36001.60000000001
1027,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.7,49074.4
1028,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.75,57829.00000000003
1029,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.8,65859.4
1030,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.85,82626.40000000014
1031,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.9,102134.40000000004
1032,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.95,121910.59999999995
1033,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.975,132332.99999999994
1034,2020-04-24,1 day ahead inc hosp,2020-04-25,US,quantile,0.99,143403.03999999983
1035,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.01,5695.52
1036,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.025,6346.8
1037,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.05,7013.6
1038,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.1,7921.6
1039,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.15,9225.0
1040,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.2,13236.8
1041,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.25,15330.0
1042,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.3,17285.399999999998
1043,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.35,22354.8
1044,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.4,26564.2
1045,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.45,29009.4
1046,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.5,30860.0
1047,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.55,32921.0
1048,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.6,35262.2
1049,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.65,39070.000000000015
1050,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.7,53642.80000000002
1051,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.75,63226.00000000003
1052,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.8,71855.2
1053,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.85,90637.6000000001
1054,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.9,112615.20000000016
1055,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.95,133020.19999999995
1056,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.975,144389.0
1057,2020-04-24,2 day ahead inc hosp,2020-04-26,US,quantile,0.99,156088.3199999999
1058,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.01,6218.52
1059,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.025,6904.4
1060,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.05,7637.200000000002
1061,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.1,8655.0
1062,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.15,10031.2
1063,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.2,14468.2
1064,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.25,16713.0
1065,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.3,18937.0
1066,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.35,24461.200000000004
1067,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.4,29042.60000000001
1068,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.45,31661.8
1069,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.5,33778.0
1070,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.55,35898.8
1071,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.6,38449.2
1072,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.65,42448.60000000001
1073,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.7,59024.00000000003
1074,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.75,69125.00000000004
1075,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.8,78383.80000000005
1076,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.85,99135.80000000008
1077,2020-04-24,3 day ahead inc hosp,2020-04-27,US,quantile,0.9,123266.00000000016
