"","forecast_date","target","target_end_date","quantile","type","location","value"
"1","2023-08-06","0 day ahead inc hosp","2023-08-06","0.010","quantile","02",0.468421387097562
"2","2023-08-06","0 day ahead inc hosp","2023-08-06","0.025","quantile","02",0.532404055302063
"3","2023-08-06","0 day ahead inc hosp","2023-08-06","0.050","quantile","02",0.627168359215333
"4","2023-08-06","0 day ahead inc hosp","2023-08-06","0.100","quantile","02",1.07090341477151
"5","2023-08-06","0 day ahead inc hosp","2023-08-06","0.150","quantile","02",1.38239880830322
"6","2023-08-06","0 day ahead inc hosp","2023-08-06","0.200","quantile","02",1.63235327808597
"7","2023-08-06","0 day ahead inc hosp","2023-08-06","0.250","quantile","02",2.10220913171505
"8","2023-08-06","0 day ahead inc hosp","2023-08-06","0.300","quantile","02",2.49989631081929
"9","2023-08-06","0 day ahead inc hosp","2023-08-06","0.350","quantile","02",2.75565165596699
"10","2023-08-06","0 day ahead inc hosp","2023-08-06","0.400","quantile","02",3.12747051230853
"11","2023-08-06","0 day ahead inc hosp","2023-08-06","0.450","quantile","02",3.73115650188822
"12","2023-08-06","0 day ahead inc hosp","2023-08-06","0.500","quantile","02",4.13371056051679
"13","2023-08-06","0 day ahead inc hosp","2023-08-06","0.550","quantile","02",4.562659673449
"14","2023-08-06","0 day ahead inc hosp","2023-08-06","0.600","quantile","02",5.49672688988408
"15","2023-08-06","0 day ahead inc hosp","2023-08-06","0.650","quantile","02",6.61622831206999
"16","2023-08-06","0 day ahead inc hosp","2023-08-06","0.700","quantile","02",8.77630248727392
"17","2023-08-06","0 day ahead inc hosp","2023-08-06","0.750","quantile","02",9.84593795990308
"18","2023-08-06","0 day ahead inc hosp","2023-08-06","0.800","quantile","02",11.2436952371677
"19","2023-08-06","0 day ahead inc hosp","2023-08-06","0.850","quantile","02",12.4068668926229
"20","2023-08-06","0 day ahead inc hosp","2023-08-06","0.900","quantile","02",15.5056391972475
"21","2023-08-06","0 day ahead inc hosp","2023-08-06","0.950","quantile","02",24.1284322548795
"22","2023-08-06","0 day ahead inc hosp","2023-08-06","0.975","quantile","02",45.491305876503
"23","2023-08-06","0 day ahead inc hosp","2023-08-06","0.990","quantile","02",78.0081094017314
"24","2023-08-06","0 day ahead inc hosp","2023-08-06","0.010","quantile","01",5.49275624000059
"25","2023-08-06","0 day ahead inc hosp","2023-08-06","0.025","quantile","01",6.53438885563514
"26","2023-08-06","0 day ahead inc hosp","2023-08-06","0.050","quantile","01",7.16517217022453
"27","2023-08-06","0 day ahead inc hosp","2023-08-06","0.100","quantile","01",8.24547229119957
"28","2023-08-06","0 day ahead inc hosp","2023-08-06","0.150","quantile","01",8.98418316027164
"29","2023-08-06","0 day ahead inc hosp","2023-08-06","0.200","quantile","01",10.1571712629938
"30","2023-08-06","0 day ahead inc hosp","2023-08-06","0.250","quantile","01",10.9017000108033
"31","2023-08-06","0 day ahead inc hosp","2023-08-06","0.300","quantile","01",12.4493501953234
"32","2023-08-06","0 day ahead inc hosp","2023-08-06","0.350","quantile","01",13.9652160270888
"33","2023-08-06","0 day ahead inc hosp","2023-08-06","0.400","quantile","01",16.1994611413234
