"","forecast_date","target","target_end_date","quantile","type","location","value"
"1","2024-02-11","0 day ahead inc hosp","2024-02-11","0.010","quantile","02",1.39197398332367
"2","2024-02-11","0 day ahead inc hosp","2024-02-11","0.025","quantile","02",1.58568341221374
"3","2024-02-11","0 day ahead inc hosp","2024-02-11","0.050","quantile","02",2.01428307764377
"4","2024-02-11","0 day ahead inc hosp","2024-02-11","0.100","quantile","02",2.48683695111455
"5","2024-02-11","0 day ahead inc hosp","2024-02-11","0.150","quantile","02",2.89189058921919
"6","2024-02-11","0 day ahead inc hosp","2024-02-11","0.200","quantile","02",3.41299841126355
"7","2024-02-11","0 day ahead inc hosp","2024-02-11","0.250","quantile","02",4.01423313945432
"8","2024-02-11","0 day ahead inc hosp","2024-02-11","0.300","quantile","02",4.75216928952996
"9","2024-02-11","0 day ahead inc hosp","2024-02-11","0.350","quantile","02",5.1864473557786
"10","2024-02-11","0 day ahead inc hosp","2024-02-11","0.400","quantile","02",5.91980958870776
"11","2024-02-11","0 day ahead inc hosp","2024-02-11","0.450","quantile","02",6.83939265111483
"12","2024-02-11","0 day ahead inc hosp","2024-02-11","0.500","quantile","02",8.2742092312001
"13","2024-02-11","0 day ahead inc hosp","2024-02-11","0.550","quantile","02",9.43081810838652
"14","2024-02-11","0 day ahead inc hosp","2024-02-11","0.600","quantile","02",10.8859123094452
"15","2024-02-11","0 day ahead inc hosp","2024-02-11","0.650","quantile","02",15.6160148086429
"16","2024-02-11","0 day ahead inc hosp","2024-02-11","0.700","quantile","02",22.507074281874
"17","2024-02-11","0 day ahead inc hosp","2024-02-11","0.750","quantile","02",25.7390581918009
"18","2024-02-11","0 day ahead inc hosp","2024-02-11","0.800","quantile","02",36.450699610143
"19","2024-02-11","0 day ahead inc hosp","2024-02-11","0.850","quantile","02",46.6084530407039
"20","2024-02-11","0 day ahead inc hosp","2024-02-11","0.900","quantile","02",79.0069020656757
"21","2024-02-11","0 day ahead inc hosp","2024-02-11","0.950","quantile","02",138.188169247002
"22","2024-02-11","0 day ahead inc hosp","2024-02-11","0.975","quantile","02",198.121352757033
"23","2024-02-11","0 day ahead inc hosp","2024-02-11","0.990","quantile","02",252.596050584845
"24","2024-02-11","0 day ahead inc hosp","2024-02-11","0.010","quantile","01",16.1165387074784
"25","2024-02-11","0 day ahead inc hosp","2024-02-11","0.025","quantile","01",16.9563290634431
"26","2024-02-11","0 day ahead inc hosp","2024-02-11","0.050","quantile","01",18.7324683313804
"27","2024-02-11","0 day ahead inc hosp","2024-02-11","0.100","quantile","01",23.8466454761886
"28","2024-02-11","0 day ahead inc hosp","2024-02-11","0.150","quantile","01",26.6311768235894
"29","2024-02-11","0 day ahead inc hosp","2024-02-11","0.200","quantile","01",30.0272673918992
"30","2024-02-11","0 day ahead inc hosp","2024-02-11","0.250","quantile","01",33.3393141530754
"31","2024-02-11","0 day ahead inc hosp","2024-02-11","0.300","quantile","01",36.5990297451297
"32","2024-02-11","0 day ahead inc hosp","2024-02-11","0.350","quantile","01",39.3636249024123
"33","2024-02-11","0 day ahead inc hosp","2024-02-11","0.400","quantile","01",45.322107166501
"34","2024-02-11","0 day ahead inc hosp","2024-02-11","0.450","quantile","01",51.1739564271254
"35","2024-02-11","0 day ahead inc hosp","2024-02-11","0.500","quantile","01",57.4645256453896
"36","2024-02-11","0 day ahead inc hosp","2024-02-11","0.550","quantile","01",66.1352103515491
"37","2024-02-11","0 day ahead inc hosp","2024-02-11","0.600","quantile","01",76.1732267417388
"38","2024-02-11","0 day ahead inc hosp","2024-02-11","0.650","quantile","01",85.9477717829523
"39","2024-02-11","0 day ahead inc hosp","2024-02-11","0.700","quantile","01",93.1711812930627
"40","2024-02-11","0 day ahead inc hosp","2024-02-11","0.750","quantile","01",108.051892016547
"41","2024-02-11","0 day ahead inc hosp","2024-02-11","0.800","quantile","01",148.396901576143
"42","2024-02-11","0 day ahead inc hosp","2024-02-11","0.850","quantile","01",222.283436800512
"43","2024-02-11","0 day ahead inc hosp","2024-02-11","0.900","quantile","01",360.367427386405
"44","2024-02-11","0 day ahead inc hosp","2024-02-11","0.950","quantile","01",692.007397531933
"45","2024-02-11","0 day ahead inc hosp","2024-02-11","0.975","quantile","01",1036.85423819899
"46","2024-02-11","0 day ahead inc hosp","2024-02-11","0.990","quantile","01",1776.15912244346
"47","2024-02-11","0 day ahead inc hosp","2024-02-11","0.010","quantile","05",7.17879332540815
"48","2024-02-11","0 day ahead inc hosp","2024-02-11","0.025","quantile","05",8.09476330408878
"49","2024-02-11","0 day ahead inc hosp","2024-02-11","0.050","quantile","05",10.1624183076786
"50","2024-02-11","0 day ahead inc hosp","2024-02-11","0.100","quantile","05",12.0485253052376
"51","2024-02-11","0 day ahead inc hosp","2024-02-11","0.150","quantile","05",13.7988098723853
"52","2024-02-11","0 day ahead inc hosp","2024-02-11","0.200","quantile","05",15.3313438258413
"53","2024-02-11","0 day ahead inc hosp","2024-02-11","0.250","quantile","05",17.4834033670812
"54","2024-02-11","0 day ahead inc hosp","2024-02-11","0.300","quantile","05",18.9531537741255
"55","2024-02-11","0 day ahead inc hosp","2024-02-11","0.350","quantile","05",21.9822942556433
"56","2024-02-11","0 day ahead inc hosp","2024-02-11","0.400","quantile","05",23.8168264974981
"57","2024-02-11","0 day ahead inc hosp","2024-02-11","0.450","quantile","05",26.1777645773187
"58","2024-02-11","0 day ahead inc hosp","2024-02-11","0.500","quantile","05",29.8604565501574
"59","2024-02-11","0 day ahead inc hosp","2024-02-11","0.550","quantile","05",35.339203098452
"60","2024-02-11","0 day ahead inc hosp","2024-02-11","0.600","quantile","05",44.8449054828972
"61","2024-02-11","0 day ahead inc hosp","2024-02-11","0.650","quantile","05",52.4523831089076
"62","2024-02-11","0 day ahead inc hosp","2024-02-11","0.700","quantile","05",61.8326766993693
"63","2024-02-11","0 day ahead inc hosp","2024-02-11","0.750","quantile","05",72.2464138663456
"64","2024-02-11","0 day ahead inc hosp","2024-02-11","0.800","quantile","05",109.278655168783
"65","2024-02-11","0 day ahead inc hosp","2024-02-11","0.850","quantile","05",177.886311533576
"66","2024-02-11","0 day ahead inc hosp","2024-02-11","0.900","quantile","05",273.836186727771
"67","2024-02-11","0 day ahead inc hosp","2024-02-11","0.950","quantile","05",562.962633671862
"68","2024-02-11","0 day ahead inc hosp","2024-02-11","0.975","quantile","05",761.233338553824
"69","2024-02-11","0 day ahead inc hosp","2024-02-11","0.990","quantile","05",1150.11820506127
"70","2024-02-11","0 day ahead inc hosp","2024-02-11","0.010","quantile","04",17.3274831645241
"71","2024-02-11","0 day ahead inc hosp","2024-02-11","0.025","quantile","04",18.2770372707081
"72","2024-02-11","0 day ahead inc hosp","2024-02-11","0.050","quantile","04",21.401949320888
"73","2024-02-11","0 day ahead inc hosp","2024-02-11","0.100","quantile","04",26.2839771143596
"74","2024-02-11","0 day ahead inc hosp","2024-02-11","0.150","quantile","04",31.582675922764
"75","2024-02-11","0 day ahead inc hosp","2024-02-11","0.200","quantile","04",36.7720576333645
"76","2024-02-11","0 day ahead inc hosp","2024-02-11","0.250","quantile","04",40.7014678862667
"77","2024-02-11","0 day ahead inc hosp","2024-02-11","0.300","quantile","04",49.8964292199175
"78","2024-02-11","0 day ahead inc hosp","2024-02-11","0.350","quantile","04",55.7100922572461
"79","2024-02-11","0 day ahead inc hosp","2024-02-11","0.400","quantile","04",63.5812417719666
"80","2024-02-11","0 day ahead inc hosp","2024-02-11","0.450","quantile","04",69.8029954951588
"81","2024-02-11","0 day ahead inc hosp","2024-02-11","0.500","quantile","04",85.0570930302095
"82","2024-02-11","0 day ahead inc hosp","2024-02-11","0.550","quantile","04",109.795430025547
"83","2024-02-11","0 day ahead inc hosp","2024-02-11","0.600","quantile","04",137.351753335169
"84","2024-02-11","0 day ahead inc hosp","2024-02-11","0.650","quantile","04",173.039956410359
"85","2024-02-11","0 day ahead inc hosp","2024-02-11","0.700","quantile","04",240.756728273819
"86","2024-02-11","0 day ahead inc hosp","2024-02-11","0.750","quantile","04",335.835910937333
"87","2024-02-11","0 day ahead inc hosp","2024-02-11","0.800","quantile","04",479.426145045285
"88","2024-02-11","0 day ahead inc hosp","2024-02-11","0.850","quantile","04",686.805415089115
"89","2024-02-11","0 day ahead inc hosp","2024-02-11","0.900","quantile","04",1093.02588841929
"90","2024-02-11","0 day ahead inc hosp","2024-02-11","0.950","quantile","04",1605.0617419153
"91","2024-02-11","0 day ahead inc hosp","2024-02-11","0.975","quantile","04",1995.67549914497
