target,location,location_name,type,quantile,value
1 day ahead inc,00,US,quantile,0.025,791.4770351628032
1 day ahead inc,00,US,quantile,0.05,796.8755404362386
1 day ahead inc,00,US,quantile,0.1,914.0050936393692
1 day ahead inc,00,US,quantile,0.5,1410.2101784805984
1 day ahead inc,00,US,quantile,0.9,2459.028545842012
1 day ahead inc,00,US,quantile,0.95,2532.2290733261857
1 day ahead inc,00,US,quantile,0.975,2540.1876888436154
1 day ahead cum,00,US,quantile,0.025,28922.507388964877
1 day ahead cum,00,US,quantile,0.05,28971.275826767247
1 day ahead cum,00,US,quantile,0.1,29423.403030912057
1 day ahead cum,00,US,quantile,0.5,44475.540649245115
1 day ahead cum,00,US,quantile,0.9,77690.49878144043
1 day ahead cum,00,US,quantile,0.95,83434.78182047581
1 day ahead cum,00,US,quantile,0.975,83482.10309059688
2 day ahead inc,00,US,quantile,0.025,764.6745771614757
2 day ahead inc,00,US,quantile,0.05,771.6667456697255
2 day ahead inc,00,US,quantile,0.1,890.54910893483
2 day ahead inc,00,US,quantile,0.5,1374.7278611734707
2 day ahead inc,00,US,quantile,0.9,2392.4186296973244
2 day ahead inc,00,US,quantile,0.95,2463.577054798068
2 day ahead inc,00,US,quantile,0.975,2470.000181969136
2 day ahead cum,00,US,quantile,0.025,29691.263484020605
2 day ahead cum,00,US,quantile,0.05,29740.965455215293
2 day ahead cum,00,US,quantile,0.1,30318.3576304436
2 day ahead cum,00,US,quantile,0.5,45849.16941985276
2 day ahead cum,00,US,quantile,0.9,79784.14093240997
2 day ahead cum,00,US,quantile,0.95,85894.1545916652
2 day ahead cum,00,US,quantile,0.975,85940.27103789718
3 day ahead inc,00,US,quantile,0.025,742.0370216766429
3 day ahead inc,00,US,quantile,0.05,746.603343763188
3 day ahead inc,00,US,quantile,0.1,872.3795176654958
3 day ahead inc,00,US,quantile,0.5,1338.7987497797894
3 day ahead inc,00,US,quantile,0.9,2327.722406776209
3 day ahead inc,00,US,quantile,0.95,2389.8092154626584
3 day ahead inc,00,US,quantile,0.975,2397.264128866889
3 day ahead cum,00,US,quantile,0.025,30433.84977525297
3 day ahead cum,00,US,quantile,0.05,30490.05073583255
3 day ahead cum,00,US,quantile,0.1,31192.63770188437
3 day ahead cum,00,US,quantile,0.5,47174.117632368536
3 day ahead cum,00,US,quantile,0.9,81822.52976828664
3 day ahead cum,00,US,quantile,0.95,88286.0049878791
3 day ahead cum,00,US,quantile,0.975,88335.99958012985
4 day ahead inc,00,US,quantile,0.025,715.0052222843234
4 day ahead inc,00,US,quantile,0.05,721.2447283493193
4 day ahead inc,00,US,quantile,0.1,847.7474569694413
4 day ahead inc,00,US,quantile,0.5,1298.5166192354732
4 day ahead inc,00,US,quantile,0.9,2262.300210043305
4 day ahead inc,00,US,quantile,0.95,2318.375450836917
4 day ahead inc,00,US,quantile,0.975,2325.0696657261387
4 day ahead cum,00,US,quantile,0.025,31149.410381871883
4 day ahead cum,00,US,quantile,0.05,31207.249601108953
4 day ahead cum,00,US,quantile,0.1,32042.01463119201
4 day ahead cum,00,US,quantile,0.5,48471.8308970411
4 day ahead cum,00,US,quantile,0.9,83788.36019026686
4 day ahead cum,00,US,quantile,0.95,90597.55340509325
4 day ahead cum,00,US,quantile,0.975,90661.88988702641
5 day ahead inc,00,US,quantile,0.025,691.2473429801291
5 day ahead inc,00,US,quantile,0.05,695.2426560749287
5 day ahead inc,00,US,quantile,0.1,822.3488214541707
5 day ahead inc,00,US,quantile,0.5,1264.4506794690194
5 day ahead inc,00,US,quantile,0.9,2192.5950254647296
5 day ahead inc,00,US,quantile,0.95,2242.2802663764123
5 day ahead inc,00,US,quantile,0.975,2251.465672125563
5 day ahead cum,00,US,quantile,0.025,31844.777872845312
5 day ahead cum,00,US,quantile,0.05,31902.566365343013
5 day ahead cum,00,US,quantile,0.1,32864.713844746155
5 day ahead cum,00,US,quantile,0.5,49726.79774823875
5 day ahead cum,00,US,quantile,0.9,85695.67586917558
5 day ahead cum,00,US,quantile,0.95,92842.06585994533
5 day ahead cum,00,US,quantile,0.975,92907.93039135548
6 day ahead inc,00,US,quantile,0.025,668.6099082302841
6 day ahead inc,00,US,quantile,0.05,672.8163125267462
6 day ahead inc,00,US,quantile,0.1,798.5712940337978
