forecast_date,target,target_end_date,quantile,type,location,value
2020-12-21,1 wk ahead inc death,2020-12-26,NA,point,US,22803.75006253232
2020-12-21,2 wk ahead inc death,2021-01-02,NA,point,US,27487.185070051775
2020-12-21,3 wk ahead inc death,2021-01-09,NA,point,US,33132.50412776084
2020-12-21,4 wk ahead inc death,2021-01-16,NA,point,US,39937.25901646205
2020-12-21,5 wk ahead inc death,2021-01-23,NA,point,US,48139.57470880047
2020-12-21,6 wk ahead inc death,2021-01-30,NA,point,US,58026.48229286202
2020-12-21,7 wk ahead inc death,2021-02-06,NA,point,US,69943.96331192127
2020-12-21,8 wk ahead inc death,2021-02-13,NA,point,US,84309.05701104642
2020-12-21,1 wk ahead cum death,2020-12-26,NA,point,US,338962.7500625323
2020-12-21,2 wk ahead cum death,2021-01-02,NA,point,US,366449.93513258407
2020-12-21,3 wk ahead cum death,2021-01-09,NA,point,US,399582.43926034495
2020-12-21,4 wk ahead cum death,2021-01-16,NA,point,US,439519.698276807
2020-12-21,5 wk ahead cum death,2021-01-23,NA,point,US,487659.27298560744
2020-12-21,6 wk ahead cum death,2021-01-30,NA,point,US,545685.7552784695
2020-12-21,7 wk ahead cum death,2021-02-06,NA,point,US,615629.7185903908
2020-12-21,8 wk ahead cum death,2021-02-13,NA,point,US,332875199
2020-12-21,1 wk ahead inc death,2020-12-26,NA,point,01,288.45690019022766
2020-12-21,2 wk ahead inc death,2021-01-02,NA,point,01,325.4606777639995
2020-12-21,3 wk ahead inc death,2021-01-09,NA,point,01,367.21136745471637
2020-12-21,4 wk ahead inc death,2021-01-16,NA,point,01,414.3179118115825
2020-12-21,5 wk ahead inc death,2021-01-23,NA,point,01,467.4673696453005
2020-12-21,6 wk ahead inc death,2021-01-30,NA,point,01,527.4349369246534
2020-12-21,7 wk ahead inc death,2021-02-06,NA,point,01,595.0952531719872
2020-12-21,8 wk ahead inc death,2021-02-13,NA,point,01,671.4351582637423
2020-12-21,1 wk ahead cum death,2020-12-26,NA,point,01,4677.456900190227
2020-12-21,2 wk ahead cum death,2021-01-02,NA,point,01,5002.917577954227
2020-12-21,3 wk ahead cum death,2021-01-09,NA,point,01,5370.128945408944
2020-12-21,4 wk ahead cum death,2021-01-16,NA,point,01,5784.446857220526
2020-12-21,5 wk ahead cum death,2021-01-23,NA,point,01,6251.914226865827
2020-12-21,6 wk ahead cum death,2021-01-30,NA,point,01,6779.34916379048
2020-12-21,7 wk ahead cum death,2021-02-06,NA,point,01,7374.444416962468
2020-12-21,8 wk ahead cum death,2021-02-13,NA,point,01,8045.879575226209
2020-12-21,1 wk ahead inc death,2020-12-26,NA,point,02,5.71844064806821
2020-12-21,2 wk ahead inc death,2021-01-02,NA,point,02,3.670605475831846
2020-12-21,3 wk ahead inc death,2021-01-09,NA,point,02,2.3561221298603954
2020-12-21,4 wk ahead inc death,2021-01-16,NA,point,02,1.5123694244366666
2020-12-21,5 wk ahead inc death,2021-01-23,NA,point,02,0.9707736483534571
2020-12-21,6 wk ahead inc death,2021-01-30,NA,point,02,0.6231291515884165
2020-12-21,7 wk ahead inc death,2021-02-06,NA,point,02,0.3999798925505279
2020-12-21,8 wk ahead inc death,2021-02-13,NA,point,02,0.2567427860451038
2020-12-21,1 wk ahead cum death,2020-12-26,NA,point,02,189.71844064806822
2020-12-21,2 wk ahead cum death,2021-01-02,NA,point,02,193.38904612390004
2020-12-21,3 wk ahead cum death,2021-01-09,NA,point,02,195.74516825376045
2020-12-21,4 wk ahead cum death,2021-01-16,NA,point,02,197.2575376781971
2020-12-21,5 wk ahead cum death,2021-01-23,NA,point,02,198.22831132655057
2020-12-21,6 wk ahead cum death,2021-01-30,NA,point,02,198.85144047813898
2020-12-21,7 wk ahead cum death,2021-02-06,NA,point,02,199.25142037068952
2020-12-21,8 wk ahead cum death,2021-02-13,NA,point,02,199.5081631567346
2020-12-21,1 wk ahead inc death,2020-12-26,NA,point,04,656.3994425350002
2020-12-21,2 wk ahead inc death,2021-01-02,NA,point,04,868.1960004052102
2020-12-21,3 wk ahead inc death,2021-01-09,NA,point,04,1148.3317112649909
2020-12-21,4 wk ahead inc death,2021-01-16,NA,point,04,1518.8571687514418
2020-12-21,5 wk ahead inc death,2021-01-23,NA,point,04,2008.937902208029
2020-12-21,6 wk ahead inc death,2021-01-30,NA,point,04,2657.150111254769
2020-12-21,7 wk ahead inc death,2021-02-06,NA,point,04,3514.517151566043
2020-12-21,8 wk ahead inc death,2021-02-13,NA,point,04,4648.525785703196
2020-12-21,1 wk ahead cum death,2020-12-26,NA,point,04,8593.399442535
2020-12-21,2 wk ahead cum death,2021-01-02,NA,point,04,9461.59544294021
2020-12-21,3 wk ahead cum death,2021-01-09,NA,point,04,10609.927154205201
2020-12-21,4 wk ahead cum death,2021-01-16,NA,point,04,12128.784322956642
2020-12-21,5 wk ahead cum death,2021-01-23,NA,point,04,14137.72222516467
2020-12-21,6 wk ahead cum death,2021-01-30,NA,point,04,16794.87233641944
2020-12-21,7 wk ahead cum death,2021-02-06,NA,point,04,20309.389487985485
2020-12-21,8 wk ahead cum death,2021-02-13,NA,point,04,24957.915273688683
2020-12-21,1 wk ahead inc death,2020-12-26,NA,point,05,237.3464620277681
2020-12-21,2 wk ahead inc death,2021-01-02,NA,point,05,252.62179639303423
2020-12-21,3 wk ahead inc death,2021-01-09,NA,point,05,268.88023300459986
2020-12-21,4 wk ahead inc death,2021-01-16,NA,point,05,286.1850431469791
2020-12-21,5 wk ahead inc death,2021-01-23,NA,point,05,304.6035701688684
2020-12-21,6 wk ahead inc death,2021-01-30,NA,point,05,324.20749155632495
2020-12-21,7 wk ahead inc death,2021-02-06,NA,point,05,345.07309787266297
2020-12-21,8 wk ahead inc death,2021-02-13,NA,point,05,367.2815896505877
2020-12-21,1 wk ahead cum death,2020-12-26,NA,point,05,3428.346462027768
2020-12-21,2 wk ahead cum death,2021-01-02,NA,point,05,3680.968258420802
2020-12-21,3 wk ahead cum death,2021-01-09,NA,point,05,3949.8484914254022
2020-12-21,4 wk ahead cum death,2021-01-16,NA,point,05,4236.0335345723815
2020-12-21,5 wk ahead cum death,2021-01-23,NA,point,05,4540.6371047412495
2020-12-21,6 wk ahead cum death,2021-01-30,NA,point,05,4864.844596297575
2020-12-21,7 wk ahead cum death,2021-02-06,NA,point,05,5209.917694170237
2020-12-21,8 wk ahead cum death,2021-02-13,NA,point,05,5577.199283820825
2020-12-21,1 wk ahead inc death,2020-12-26,NA,point,06,1758.5553618881731
2020-12-21,2 wk ahead inc death,2021-01-02,NA,point,06,2160.6457017457083
2020-12-21,3 wk ahead inc death,2021-01-09,NA,point,06,2643.7807935799096
2020-12-21,4 wk ahead inc death,2021-01-16,NA,point,06,3234.9481818582044
2020-12-21,5 wk ahead inc death,2021-01-23,NA,point,06,3958.3046237117624
2020-12-21,6 wk ahead inc death,2021-01-30,NA,point,06,4843.408491661789
2020-12-21,7 wk ahead inc death,2021-02-06,NA,point,06,5926.427611603087
2020-12-21,8 wk ahead inc death,2021-02-13,NA,point,06,7251.617181585436
2020-12-21,1 wk ahead cum death,2020-12-26,NA,point,06,24340.555361888175
2020-12-21,2 wk ahead cum death,2021-01-02,NA,point,06,26501.201063633882
2020-12-21,3 wk ahead cum death,2021-01-09,NA,point,06,29144.981857213792
2020-12-21,4 wk ahead cum death,2021-01-16,NA,point,06,32379.930039071995
2020-12-21,5 wk ahead cum death,2021-01-23,NA,point,06,36338.234662783754
2020-12-21,6 wk ahead cum death,2021-01-30,NA,point,06,41181.64315444555
2020-12-21,7 wk ahead cum death,2021-02-06,NA,point,06,47108.07076604864
2020-12-21,8 wk ahead cum death,2021-02-13,NA,point,06,54359.68794763407
2020-12-21,1 wk ahead inc death,2020-12-26,NA,point,08,370.31371688694963
2020-12-21,2 wk ahead inc death,2021-01-02,NA,point,08,351.17954730193526
2020-12-21,3 wk ahead inc death,2021-01-09,NA,point,08,333.0340433509852
2020-12-21,4 wk ahead inc death,2021-01-16,NA,point,08,315.82612052104093
2020-12-21,5 wk ahead inc death,2021-01-23,NA,point,08,299.5073338440907
2020-12-21,6 wk ahead inc death,2021-01-30,NA,point,08,284.0317415114491
2020-12-21,7 wk ahead inc death,2021-02-06,NA,point,08,269.35577553510336
2020-12-21,8 wk ahead inc death,2021-02-13,NA,point,08,255.4381190920266
2020-12-21,1 wk ahead cum death,2020-12-26,NA,point,08,4709.31371688695
2020-12-21,2 wk ahead cum death,2021-01-02,NA,point,08,5060.4932641888845
2020-12-21,3 wk ahead cum death,2021-01-09,NA,point,08,5393.52730753987
2020-12-21,4 wk ahead cum death,2021-01-16,NA,point,08,5709.353428060911
2020-12-21,5 wk ahead cum death,2021-01-23,NA,point,08,6008.860761905002
2020-12-21,6 wk ahead cum death,2021-01-30,NA,point,08,6292.892503416451
2020-12-21,7 wk ahead cum death,2021-02-06,NA,point,08,6562.248278951554
2020-12-21,8 wk ahead cum death,2021-02-13,NA,point,08,6817.686398043581
2020-12-21,1 wk ahead inc death,2020-12-26,NA,point,09,192.70188132580205
2020-12-21,2 wk ahead inc death,2021-01-02,NA,point,09,155.02835301818732
2020-12-21,3 wk ahead inc death,2021-01-09,NA,point,09,124.7200601996078
2020-12-21,4 wk ahead inc death,2021-01-16,NA,point,09,100.33708746405208
2020-12-21,5 wk ahead inc death,2021-01-23,NA,point,09,80.72102518757839
2020-12-21,6 wk ahead inc death,2021-01-30,NA,point,09,64.93993469431857
2020-12-21,7 wk ahead inc death,2021-02-06,NA,point,09,52.244072821207375
2020-12-21,8 wk ahead inc death,2021-02-13,NA,point,09,42.03027240165063
2020-12-21,1 wk ahead cum death,2020-12-26,NA,point,09,5773.701881325802
2020-12-21,2 wk ahead cum death,2021-01-02,NA,point,09,5928.73023434399
2020-12-21,3 wk ahead cum death,2021-01-09,NA,point,09,6053.450294543597
2020-12-21,4 wk ahead cum death,2021-01-16,NA,point,09,6153.787382007649
2020-12-21,5 wk ahead cum death,2021-01-23,NA,point,09,6234.508407195228
2020-12-21,6 wk ahead cum death,2021-01-30,NA,point,09,6299.448341889546
2020-12-21,7 wk ahead cum death,2021-02-06,NA,point,09,6351.692414710754
2020-12-21,8 wk ahead cum death,2021-02-13,NA,point,09,6393.722687112404
2020-12-21,1 wk ahead inc death,2020-12-26,NA,point,10,37.12847369328934
2020-12-21,2 wk ahead inc death,2021-01-02,NA,point,10,43.32566454303237
2020-12-21,3 wk ahead inc death,2021-01-09,NA,point,10,50.55724142074398
2020-12-21,4 wk ahead inc death,2021-01-16,NA,point,10,58.99585585205877
2020-12-21,5 wk ahead inc death,2021-01-23,NA,point,10,68.84297698823454
2020-12-21,6 wk ahead inc death,2021-01-30,NA,point,10,80.33370161604677
2020-12-21,7 wk ahead inc death,2021-02-06,NA,point,10,93.74236701644884
2020-12-21,8 wk ahead inc death,2021-02-13,NA,point,10,109.38910067715929
2020-12-21,1 wk ahead cum death,2020-12-26,NA,point,10,895.1284736932894
2020-12-21,2 wk ahead cum death,2021-01-02,NA,point,10,938.4541382363217
2020-12-21,3 wk ahead cum death,2021-01-09,NA,point,10,989.0113796570656
2020-12-21,4 wk ahead cum death,2021-01-16,NA,point,10,1048.0072355091245
2020-12-21,5 wk ahead cum death,2021-01-23,NA,point,10,1116.8502124973588
2020-12-21,6 wk ahead cum death,2021-01-30,NA,point,10,1197.1839141134058
2020-12-21,7 wk ahead cum death,2021-02-06,NA,point,10,1290.9262811298545
2020-12-21,8 wk ahead cum death,2021-02-13,NA,point,10,1400.3153818070139
2020-12-21,1 wk ahead inc death,2020-12-26,NA,point,11,35.97783043584627
2020-12-21,2 wk ahead inc death,2021-01-02,NA,point,11,57.87942455383924
2020-12-21,3 wk ahead inc death,2021-01-09,NA,point,11,93.1136687815893
2020-12-21,4 wk ahead inc death,2021-01-16,NA,point,11,149.7968471663461
2020-12-21,5 wk ahead inc death,2021-01-23,NA,point,11,240.98605193628026
2020-12-21,6 wk ahead inc death,2021-01-30,NA,point,11,387.68691281830024
2020-12-21,7 wk ahead inc death,2021-02-06,NA,point,11,623.6922890886892
2020-12-21,8 wk ahead inc death,2021-02-13,NA,point,11,1003.366527492253
2020-12-21,1 wk ahead cum death,2020-12-26,NA,point,11,765.9778304358463
2020-12-21,2 wk ahead cum death,2021-01-02,NA,point,11,823.8572549896855
2020-12-21,3 wk ahead cum death,2021-01-09,NA,point,11,916.9709237712748
2020-12-21,4 wk ahead cum death,2021-01-16,NA,point,11,1066.767770937621
2020-12-21,5 wk ahead cum death,2021-01-23,NA,point,11,1307.7538228739013
2020-12-21,6 wk ahead cum death,2021-01-30,NA,point,11,1695.4407356922015
2020-12-21,7 wk ahead cum death,2021-02-06,NA,point,11,2319.1330247808905
2020-12-21,8 wk ahead cum death,2021-02-13,NA,point,11,3322.4995522731433
2020-12-21,1 wk ahead inc death,2020-12-26,NA,point,12,645.7258563374334
2020-12-21,2 wk ahead inc death,2021-01-02,NA,point,12,582.7985856411291
2020-12-21,3 wk ahead inc death,2021-01-09,NA,point,12,526.0037027970724
2020-12-21,4 wk ahead inc death,2021-01-16,NA,point,12,474.74359439609646
2020-12-21,5 wk ahead inc death,2021-01-23,NA,point,12,428.47888564593575
2020-12-21,6 wk ahead inc death,2021-01-30,NA,point,12,386.722764902022
2020-12-21,7 wk ahead inc death,2021-02-06,NA,point,12,349.0358612840635
2020-12-21,8 wk ahead inc death,2021-02-13,NA,point,12,315.0216214790794
2020-12-21,1 wk ahead cum death,2020-12-26,NA,point,12,21118.725856337434
2020-12-21,2 wk ahead cum death,2021-01-02,NA,point,12,21701.524441978563
2020-12-21,3 wk ahead cum death,2021-01-09,NA,point,12,22227.528144775635
2020-12-21,4 wk ahead cum death,2021-01-16,NA,point,12,22702.27173917173
2020-12-21,5 wk ahead cum death,2021-01-23,NA,point,12,23130.750624817665
2020-12-21,6 wk ahead cum death,2021-01-30,NA,point,12,23517.47338971969
2020-12-21,7 wk ahead cum death,2021-02-06,NA,point,12,23866.509251003754
2020-12-21,8 wk ahead cum death,2021-02-13,NA,point,12,24181.530872482832
2020-12-21,1 wk ahead inc death,2020-12-26,NA,point,13,347.8105907648909
2020-12-21,2 wk ahead inc death,2021-01-02,NA,point,13,359.71195938564074
2020-12-21,3 wk ahead inc death,2021-01-09,NA,point,13,372.02056855284843
2020-12-21,4 wk ahead inc death,2021-01-16,NA,point,13,384.7503532069368
2020-12-21,5 wk ahead inc death,2021-01-23,NA,point,13,397.9157251135522
2020-12-21,6 wk ahead inc death,2021-01-30,NA,point,13,411.53158917955045
2020-12-21,7 wk ahead inc death,2021-02-06,NA,point,13,425.61336032728286
2020-12-21,8 wk ahead inc death,2021-02-13,NA,point,13,440.1769809462852
2020-12-21,1 wk ahead cum death,2020-12-26,NA,point,13,10728.810590764891
2020-12-21,2 wk ahead cum death,2021-01-02,NA,point,13,11088.522550150532
2020-12-21,3 wk ahead cum death,2021-01-09,NA,point,13,11460.54311870338
