forecast_date,target,target_end_date,quantile,type,value,location
2021-04-19,1 wk ahead cum death,2021-04-24,0.025,quantile,570235.090387763,US
2021-04-19,1 wk ahead cum death,2021-04-24,0.25,quantile,571226.8163155435,US
2021-04-19,1 wk ahead cum death,2021-04-24,0.75,quantile,576744.4471180424,US
2021-04-19,1 wk ahead cum death,2021-04-24,0.975,quantile,586268.4425021998,US
2021-04-19,1 wk ahead cum death,2021-04-24,NA,point,571747.1779117128,US
2021-04-19,1 wk ahead inc death,2021-04-24,0.025,quantile,3334.090387762937,US
2021-04-19,1 wk ahead inc death,2021-04-24,0.25,quantile,4325.816315543135,US
2021-04-19,1 wk ahead inc death,2021-04-24,0.75,quantile,9843.447118042444,US
2021-04-19,1 wk ahead inc death,2021-04-24,0.975,quantile,19367.442502199825,US
2021-04-19,1 wk ahead inc death,2021-04-24,NA,point,4846.177911712992,US
2021-04-19,2 wk ahead cum death,2021-05-01,0.025,quantile,573121.8496761858,US
2021-04-19,2 wk ahead cum death,2021-05-01,0.25,quantile,575264.3593522573,US
2021-04-19,2 wk ahead cum death,2021-05-01,0.75,quantile,589736.5693542078,US
2021-04-19,2 wk ahead cum death,2021-05-01,0.975,quantile,615175.7759247937,US
2021-04-19,2 wk ahead cum death,2021-05-01,NA,point,576388.5406644725,US
2021-04-19,2 wk ahead inc death,2021-05-01,0.025,quantile,2886.7592884227693,US
2021-04-19,2 wk ahead inc death,2021-05-01,0.25,quantile,4037.543036714062,US
2021-04-19,2 wk ahead inc death,2021-05-01,0.75,quantile,12992.122236165646,US
2021-04-19,2 wk ahead inc death,2021-05-01,0.975,quantile,28907.33342259395,US
2021-04-19,2 wk ahead inc death,2021-05-01,NA,point,4641.362752759551,US
2021-04-19,3 wk ahead cum death,2021-05-08,0.025,quantile,575638.4974828477,US
2021-04-19,3 wk ahead cum death,2021-05-08,0.25,quantile,579081.0110998589,US
2021-04-19,3 wk ahead cum death,2021-05-08,0.75,quantile,608314.671005389,US
2021-04-19,3 wk ahead cum death,2021-05-08,0.975,quantile,660586.8348465479,US
2021-04-19,3 wk ahead cum death,2021-05-08,NA,point,580887.3084148779,US
2021-04-19,3 wk ahead inc death,2021-05-08,0.025,quantile,2516.6478066619993,US
2021-04-19,3 wk ahead inc death,2021-05-08,0.25,quantile,3816.651747601689,US
2021-04-19,3 wk ahead inc death,2021-05-08,0.75,quantile,18578.101651180634,US
2021-04-19,3 wk ahead inc death,2021-05-08,0.975,quantile,45411.05892175428,US
2021-04-19,3 wk ahead inc death,2021-05-08,NA,point,4498.767750405653,US
2021-04-19,4 wk ahead cum death,2021-05-15,0.025,quantile,577846.0078715483,US
2021-04-19,4 wk ahead cum death,2021-05-15,0.25,quantile,582731.4730456711,US
2021-04-19,4 wk ahead cum death,2021-05-15,0.75,quantile,636622.5638353475,US
2021-04-19,4 wk ahead cum death,2021-05-15,0.975,quantile,734444.8934060027,US
2021-04-19,4 wk ahead cum death,2021-05-15,NA,point,585294.8914103892,US
2021-04-19,4 wk ahead inc death,2021-05-15,0.025,quantile,2207.5103887006803,US
2021-04-19,4 wk ahead inc death,2021-05-15,0.25,quantile,3650.46194581236,US
2021-04-19,4 wk ahead inc death,2021-05-15,0.75,quantile,28307.892829958895,US
2021-04-19,4 wk ahead inc death,2021-05-15,0.975,quantile,73858.0585594546,US
2021-04-19,4 wk ahead inc death,2021-05-15,NA,point,4407.582995511114,US
2021-04-19,5 wk ahead cum death,2021-05-22,0.025,quantile,579789.670703275,US
2021-04-19,5 wk ahead cum death,2021-05-22,0.25,quantile,586255.0266896464,US
2021-04-19,5 wk ahead cum death,2021-05-22,0.75,quantile,681735.5931470486,US
2021-04-19,5 wk ahead cum death,2021-05-22,0.975,quantile,857240.916880164,US
2021-04-19,5 wk ahead cum death,2021-05-22,NA,point,589647.4185457362,US
2021-04-19,5 wk ahead inc death,2021-05-22,0.025,quantile,1943.662831726556,US
2021-04-19,5 wk ahead inc death,2021-05-22,0.25,quantile,3523.5536439752036,US
2021-04-19,5 wk ahead inc death,2021-05-22,0.75,quantile,45113.029311700964,US
2021-04-19,5 wk ahead inc death,2021-05-22,0.975,quantile,122796.02347416125,US
2021-04-19,5 wk ahead inc death,2021-05-22,NA,point,4352.5271353469125,US
2021-04-19,6 wk ahead cum death,2021-05-29,0.025,quantile,581499.6669473252,US
2021-04-19,6 wk ahead cum death,2021-05-29,0.25,quantile,589668.2064287071,US
2021-04-19,6 wk ahead cum death,2021-05-29,0.75,quantile,755700.4738435635,US
2021-04-19,6 wk ahead cum death,2021-05-29,0.975,quantile,1063962.8655750607,US
2021-04-19,6 wk ahead cum death,2021-05-29,NA,point,593954.2638200092,US
2021-04-19,6 wk ahead inc death,2021-05-29,0.025,quantile,1709.9962440501615,US
2021-04-19,6 wk ahead inc death,2021-05-29,0.25,quantile,3413.179739060523,US
2021-04-19,6 wk ahead inc death,2021-05-29,0.75,quantile,73964.8806965147,US
2021-04-19,6 wk ahead inc death,2021-05-29,0.975,quantile,206721.9486948973,US
2021-04-19,6 wk ahead inc death,2021-05-29,NA,point,4306.845274272965,US
2021-04-19,7 wk ahead cum death,2021-06-05,0.025,quantile,582991.1519262696,US
2021-04-19,7 wk ahead cum death,2021-06-05,0.25,quantile,592946.3408075913,US
2021-04-19,7 wk ahead cum death,2021-06-05,0.75,quantile,878746.3233668596,US
2021-04-19,7 wk ahead cum death,2021-06-05,0.975,quantile,1413480.164093778,US
2021-04-19,7 wk ahead cum death,2021-06-05,NA,point,598169.8585470666,US
2021-04-19,7 wk ahead inc death,2021-06-05,0.025,quantile,1491.48497894443,US
2021-04-19,7 wk ahead inc death,2021-06-05,0.25,quantile,3278.1343788845707,US
2021-04-19,7 wk ahead inc death,2021-06-05,0.75,quantile,123045.84952329627,US
2021-04-19,7 wk ahead inc death,2021-06-05,0.975,quantile,349517.29851871677,US
2021-04-19,7 wk ahead inc death,2021-06-05,NA,point,4215.594727057322,US
2021-04-19,8 wk ahead cum death,2021-06-12,0.025,quantile,584263.9579587824,US
2021-04-19,8 wk ahead cum death,2021-06-12,0.25,quantile,595978.2464093468,US
2021-04-19,8 wk ahead cum death,2021-06-12,0.75,quantile,1083556.7515592936,US
2021-04-19,8 wk ahead cum death,2021-06-12,0.975,quantile,2001089.065749395,US
2021-04-19,8 wk ahead cum death,2021-06-12,NA,point,602124.7690174367,US
2021-04-19,8 wk ahead inc death,2021-06-12,0.025,quantile,1272.8060325131164,US
2021-04-19,8 wk ahead inc death,2021-06-12,0.25,quantile,3031.9056017554403,US
2021-04-19,8 wk ahead inc death,2021-06-12,0.75,quantile,204810.42819243428,US
2021-04-19,8 wk ahead inc death,2021-06-12,0.975,quantile,587608.9016556159,US
2021-04-19,8 wk ahead inc death,2021-06-12,NA,point,3954.9104703702296,US
2021-04-19,1 wk ahead inc death,2021-04-24,0.025,quantile,35.21642666003058,01
2021-04-19,1 wk ahead inc death,2021-04-24,0.25,quantile,43.23480433845474,01
2021-04-19,1 wk ahead inc death,2021-04-24,0.75,quantile,53.10992249348847,01
2021-04-19,1 wk ahead inc death,2021-04-24,0.975,quantile,63.91193968341106,01
2021-04-19,1 wk ahead inc death,2021-04-24,NA,point,47.442071377219015,01
2021-04-19,2 wk ahead inc death,2021-05-01,0.025,quantile,27.63750330675328,01
2021-04-19,2 wk ahead inc death,2021-05-01,0.25,quantile,34.78962893035135,01
2021-04-19,2 wk ahead inc death,2021-05-01,0.75,quantile,43.77582382275565,01
2021-04-19,2 wk ahead inc death,2021-05-01,0.975,quantile,53.749947585121724,01
2021-04-19,2 wk ahead inc death,2021-05-01,NA,point,38.54237089388271,01
2021-04-19,3 wk ahead inc death,2021-05-08,0.025,quantile,21.741541685943034,01
2021-04-19,3 wk ahead inc death,2021-05-08,0.25,quantile,28.07850676409585,01
2021-04-19,3 wk ahead inc death,2021-05-08,0.75,quantile,36.20620473190736,01
2021-04-19,3 wk ahead inc death,2021-05-08,0.975,quantile,45.35933128844544,01
2021-04-19,3 wk ahead inc death,2021-05-08,NA,point,31.403531522015744,01
2021-04-19,4 wk ahead inc death,2021-05-15,0.025,quantile,17.149967114870783,01
2021-04-19,4 wk ahead inc death,2021-05-15,0.25,quantile,22.735714524134448,01
2021-04-19,4 wk ahead inc death,2021-05-15,0.75,quantile,30.052884470558528,01
2021-04-19,4 wk ahead inc death,2021-05-15,0.975,quantile,38.41249199766124,01
2021-04-19,4 wk ahead inc death,2021-05-15,NA,point,25.666573097321102,01
2021-04-19,5 wk ahead inc death,2021-05-22,0.025,quantile,13.569474357115633,01
2021-04-19,5 wk ahead inc death,2021-05-22,0.25,quantile,18.474393685926998,01
2021-04-19,5 wk ahead inc death,2021-05-22,0.75,quantile,25.040048409899804,01
2021-04-19,5 wk ahead inc death,2021-05-22,0.975,quantile,32.64821626996495,01
2021-04-19,5 wk ahead inc death,2021-05-22,NA,point,21.048019704496067,01
2021-04-19,6 wk ahead inc death,2021-05-29,0.025,quantile,10.772942280620692,01
2021-04-19,6 wk ahead inc death,2021-05-29,0.25,quantile,15.068937892008705,01
2021-04-19,6 wk ahead inc death,2021-05-29,0.75,quantile,20.94772308841834,01
2021-04-19,6 wk ahead inc death,2021-05-29,0.975,quantile,27.85575126749229,01
2021-04-19,6 wk ahead inc death,2021-05-29,NA,point,17.323059792889396,01
2021-04-19,7 wk ahead inc death,2021-06-05,0.025,quantile,8.584532628951322,01
2021-04-19,7 wk ahead inc death,2021-06-05,0.25,quantile,12.341548530422445,01
2021-04-19,7 wk ahead inc death,2021-06-05,0.75,quantile,17.599615277750807,01
2021-04-19,7 wk ahead inc death,2021-06-05,0.975,quantile,23.86363313762261,01
2021-04-19,7 wk ahead inc death,2021-06-05,NA,point,14.312866146067506,01
2021-04-19,8 wk ahead inc death,2021-06-12,0.025,quantile,6.868124822967155,01
2021-04-19,8 wk ahead inc death,2021-06-12,0.25,quantile,10.151897146936907,01
2021-04-19,8 wk ahead inc death,2021-06-12,0.75,quantile,14.853957128021722,01
2021-04-19,8 wk ahead inc death,2021-06-12,0.975,quantile,20.531558647822962,01
